Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.768027858628,0.00020377178313,0.00683834174483,0.552144736499,0.0430479622342,0.0814305889117,0.286099255846,-0.0156495445496,-0.148091727291,0.0135225112115
Within Rec,0.73489044289,0.000495837803091,0.10385151258,0.536698287286,-0.0805900746841,0.0878184556433,0.239009781209,-0.108084950235,0.0709274843,-0.0707151451704
Within Unem,0.696861111111,0.000545735183653,-0.0484300095425,0.467432730778,0.0794040235143,0.167287474487,0.143262259918,0.116214807603,-0.144489454672,-0.00819242560216
Within CPS,0.783986270023,0.000473160758047,-0.0343130165551,0.614587991831,0.0619595477893,0.115142633386,0.208992239431,-0.00915912498055,-0.12006672688,-0.114382730994
Within Hos,0.791360606061,0.00053463964441,0.00704636585888,0.468937724717,0.0533705098712,-0.0421198288091,0.391137072776,0.0842673716031,-0.386824253891,0.10909652791
Within Loan,0.839345707657,0.000395988224543,-0.0844461802382,0.663150143302,-0.051448811977,0.0193540585069,0.504427708778,-0.107941177973,-0.196227427998,0.0262288950631
Within Ins,0.737112716763,0.000570370177698,0.0500881750815,0.528698768624,0.0917074343023,0.117932127806,0.394174245004,-0.141369457424,-0.132918570096,0.112429815843
Cross Test Rec,0.740093240093,NA,-0.0185853397311,0.550948777948,0.0620128234656,0.0875401195989,0.29801982167,0.00920206743205,-0.194341390309,0.0285838936234
Cross Test Unem,0.690972222222,NA,0.0318477675794,0.568094817251,0.0140352836131,0.0517891127687,0.335900937864,-0.0489003885234,-0.14239307355,0.016163044515
Cross Test CPS,0.784897025172,NA,0.0135940855289,0.538956128611,0.0323329415421,0.0898616313522,0.298899262937,-0.0262698140271,-0.148648092218,0.026365205756
Cross Test Hos,0.8,NA,0.00468830109247,0.558648625176,0.0391162354125,0.105211149873,0.269431015022,-0.0294850403856,-0.106091657678,-0.00300049057128
Cross Test Loan,0.82966396292,NA,0.00939583416684,0.536324238655,0.0613681657088,0.0719532564926,0.25754901464,-0.00354022568302,-0.14410892903,0.014239246793
Cross Test Ins,0.757225433526,NA,0.00132725199217,0.557147192194,0.0423037809401,0.0791384590363,0.265588195765,0.00358940286607,-0.153773750638,-0.00216779501062
Cross Train Rec,0.758917278017,NA,0.10385151258,0.536698287286,-0.0805900746841,0.0878184556433,0.239009781209,-0.108084950235,0.0709274843,-0.0707151451704
Cross Train Unem,0.769191791234,NA,-0.0484300095425,0.467432730778,0.0794040235143,0.167287474487,0.143262259918,0.116214807603,-0.144489454672,-0.00819242560216
Cross Train CPS,0.754381508763,NA,-0.0343130165551,0.614587991831,0.0619595477893,0.115142633386,0.208992239431,-0.00915912498055,-0.12006672688,-0.114382730994
Cross Train Hos,0.753794266442,NA,0.00704636585888,0.468937724717,0.0533705098712,-0.0421198288091,0.391137072776,0.0842673716031,-0.386824253891,0.10909652791
Cross Train Loan,0.737841945289,NA,-0.0844461802382,0.663150143302,-0.051448811977,0.0193540585069,0.504427708778,-0.107941177973,-0.196227427998,0.0262288950631
Cross Train Ins,0.748725418791,NA,0.0500881750815,0.528698768624,0.0917074343023,0.117932127806,0.394174245004,-0.141369457424,-0.132918570096,0.112429815843
Cross Rec v Unem,0.690972222222,NA,,,,,,,,
Cross Rec v CPS,0.767734553776,NA,,,,,,,,
Cross Rec v Hos,0.777272727273,NA,,,,,,,,
Cross Rec v Loan,0.818076477404,NA,,,,,,,,
Cross Rec v Ins,0.741329479769,NA,,,,,,,,
Cross Unem v Rec,0.735431235431,NA,,,,,,,,
Cross Unem v CPS,0.775743707094,NA,,,,,,,,
Cross Unem v Hos,0.774242424242,NA,,,,,,,,
Cross Unem v Loan,0.816917728853,NA,,,,,,,,
Cross Unem v Ins,0.738439306358,NA,,,,,,,,
Cross CPS v Rec,0.723776223776,NA,,,,,,,,
Cross CPS v Unem,0.686342592593,NA,,,,,,,,
Cross CPS v Hos,0.786363636364,NA,,,,,,,,
Cross CPS v Loan,0.847045191194,NA,,,,,,,,
Cross CPS v Ins,0.731213872832,NA,,,,,,,,
Cross Hos v Rec,0.727272727273,NA,,,,,,,,
Cross Hos v Unem,0.688657407407,NA,,,,,,,,
Cross Hos v CPS,0.780320366133,NA,,,,,,,,
Cross Hos v Loan,0.830822711472,NA,,,,,,,,
Cross Hos v Ins,0.738439306358,NA,,,,,,,,
Cross Loan v Rec,0.714452214452,NA,,,,,,,,
Cross Loan v Unem,0.671296296296,NA,,,,,,,,
Cross Loan v CPS,0.781464530892,NA,,,,,,,,
Cross Loan v Hos,0.79696969697,NA,,,,,,,,
Cross Loan v Ins,0.738439306358,NA,,,,,,,,
Cross Ins v Rec,0.737762237762,NA,,,,,,,,
Cross Ins v Unem,0.680555555556,NA,,,,,,,,
Cross Ins v CPS,0.75171624714,NA,,,,,,,,
Cross Ins v Hos,0.768181818182,NA,,,,,,,,
Cross Ins v Loan,0.809965237543,NA,,,,,,,,
