Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.753757172557,0.000207717076834,,0.682028050688,,,,,,
All Domains,0.705686486486,0.000214778459711,,,0.0820551294825,0.114872305891,0.471267417724,-0.11077636021,-0.222440463557,0.0570744397156
All Domains,0.721944282744,0.000220844406394,0.265566246111,,,0.126601610443,0.443518566765,-0.0677635826733,-0.20099517896,0.045048626084
All Domains,0.721403742204,0.000210330618573,0.276078518424,,0.119825150093,,0.451243353456,-0.0787069726367,-0.221619785505,0.0522316808094
All Domains,0.679402079002,0.000225240278061,0.335724966426,,0.129950812772,0.159376059199,,0.0275457698963,-0.199382022239,0.0517183323035
All Domains,0.722282744283,0.000208161386269,0.279278712592,,0.0910298153274,0.107752680932,0.418268993135,,-0.244417012095,0.0301358054348
All Domains,0.712065280665,0.000204562711508,0.279778127393,,0.0940903119081,0.121489677363,0.431400341646,-0.161376718091,,-0.0703931091524
All Domains,0.720955093555,0.000214466142799,0.27541657839,,0.10135141666,0.113007925977,0.435252923908,-0.0823301291352,-0.183868202715,
All Domains,0.705362993763,0.000207411659832,,,,0.128700823496,0.477080953421,-0.0954462602467,-0.215976211556,0.063261691475
All Domains,0.705254885655,0.000224738140387,,,0.10373427659,,0.48944988142,-0.103374190809,-0.238702624675,0.073999147424
All Domains,0.650177962578,0.000236876669132,,,0.107958801006,0.170498435391,,0.00716897097295,-0.214880395123,0.0771870512856
All Domains,0.703513097713,0.000215770244,,,0.070266052542,0.111123926354,0.451537178178,,-0.272738098574,0.0484403397947
All Domains,0.701329313929,0.000217087551335,,,0.0741039428147,0.127430389766,0.468512279389,-0.194231569015,,-0.0576493615381
All Domains,0.707084407484,0.000212592359751,,,0.084517673948,0.119192303875,0.47313401282,-0.106652585323,-0.187110214329,
All Domains,0.716502286902,0.000212009548302,0.267234918704,,,,0.46554205112,-0.055345570987,-0.216958708375,0.0657737688918
All Domains,0.675847401247,0.000235936017271,0.32571058764,,,0.182187403434,,0.0531157223753,-0.188352646017,0.0616131102929
All Domains,0.721096049896,0.000211021011577,0.270687361079,,,0.123179733077,0.429911004742,,-0.231641654364,0.038594742684
All Domains,0.714393347193,0.000219599104225,0.271609136473,,,0.136586145997,0.439696053057,-0.143046520617,,-0.0595431128115
All Domains,0.720621621622,0.000210347300884,0.267756620529,,,0.130245700567,0.444921529918,-0.0637303441216,-0.173091857904,
All Domains,0.669076923077,0.00021499110958,0.343785185478,,0.161740581466,,,0.0448303987316,-0.220744922374,0.0742558068129
All Domains,0.721042411642,0.000218897772373,0.281261553567,,0.111202445594,,0.43604018028,,-0.256041177245,0.0455106513653
