Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Test Rec,0.740093240093,NA,-0.0185853397311,0.550948777948,0.0620128234656,0.0875401195989,0.29801982167,0.00920206743205,-0.194341390309,0.0285838936234
Cross Test Rec,0.744755244755,NA,,0.542238139004,0.0638992639373,0.0879824857412,0.298162310794,0.00955022169347,-0.194473224495,0.0281324508346
Cross Test Rec,0.689976689977,NA,0.235936623338,,0.115702380509,0.120788612629,0.439494696995,-0.0640202307965,-0.253741100536,0.051183546032
Cross Test Rec,0.738927738928,NA,-0.0292413679449,0.561201526259,,0.0958245727635,0.300524613013,0.0218811051446,-0.189736469205,0.0323312914857
Cross Test Rec,0.744755244755,NA,-0.022927095672,0.561702920191,0.07555801618,,0.310090726771,0.0143984564534,-0.205156443131,0.039730082857
Cross Test Rec,0.738927738928,NA,-0.0245696899246,0.651225050616,0.0703861700086,0.11450315156,,0.0920867169438,-0.171642785068,0.0354431425178
Cross Test Rec,0.741258741259,NA,-0.0187437673496,0.549858398062,0.0630637684422,0.0878175849777,0.299983660343,,-0.190498855526,0.0294931045945
Cross Test Rec,0.745920745921,NA,-0.0201526592168,0.566689526198,0.0550245110085,0.0970280913961,0.288230340394,-0.0620519124837,,-0.0665036463106
Cross Test Rec,0.74358974359,NA,-0.017883097723,0.552035997342,0.0630461816547,0.0894281771884,0.298684537565,0.0121697418634,-0.177327916425,
Cross Test Rec,0.655011655012,NA,0.287399980404,,,,,,,
Cross Test Rec,0.724941724942,NA,,0.672437254373,,,,,,
Cross Test Rec,0.519813519814,NA,,,0.116295852199,,,,,
Cross Test Rec,0.536130536131,NA,,,,0.193486764355,,,,
Cross Test Rec,0.648018648019,NA,,,,,0.422380328818,,,
Cross Test Rec,0.519813519814,NA,,,,,,-0.0136846822136,,
Cross Test Rec,0.519813519814,NA,,,,,,,-0.1217918378,
Cross Test Rec,0.519813519814,NA,,,,,,,,-0.0173091580044
Cross Test Unem,0.690972222222,NA,0.0318477675794,0.568094817251,0.0140352836131,0.0517891127687,0.335900937864,-0.0489003885234,-0.14239307355,0.016163044515
Cross Test Unem,0.690972222222,NA,,0.584410921542,0.0111990413495,0.0526225602561,0.33486879879,-0.0495755431802,-0.142371898155,0.0169624104934
Cross Test Unem,0.640046296296,NA,0.31300406486,,0.0887426520807,0.0601312934938,0.501981445036,-0.10988778433,-0.200295870115,0.0384665178544
Cross Test Unem,0.688657407407,NA,0.0297084525427,0.571153346814,,0.054201688496,0.336901988167,-0.0461470511052,-0.142108554086,0.0172750689176
Cross Test Unem,0.694444444444,NA,0.0343721574718,0.56973399352,0.0239903930564,,0.345920797178,-0.0452501150585,-0.147271057621,0.0226276804691
Cross Test Unem,0.689814814815,NA,0.0148699247639,0.700209490285,0.0316022490237,0.0953169106937,,0.0341143426834,-0.124054242311,0.0257235952733
Cross Test Unem,0.689814814815,NA,0.0328606639133,0.573191330024,0.0084459661191,0.0498992011135,0.325998931423,,-0.163796268762,0.0126581790542
Cross Test Unem,0.679398148148,NA,0.0319537799819,0.579232499124,0.0126260618473,0.0574186179004,0.330743484087,-0.102413617791,,-0.0564108160759
Cross Test Unem,0.689814814815,NA,0.0322957917236,0.568756630233,0.0148168494891,0.0528882979949,0.336396885425,-0.0477698250221,-0.132444429298,
Cross Test Unem,0.591435185185,NA,0.400259784862,,,,,,,
Cross Test Unem,0.686342592593,NA,,0.736465490162,,,,,,
Cross Test Unem,0.542824074074,NA,,,0.114424439255,,,,,
Cross Test Unem,0.542824074074,NA,,,,0.170684837493,,,,
Cross Test Unem,0.603009259259,NA,,,,,0.49372130906,,,
Cross Test Unem,0.542824074074,NA,,,,,,-0.0394367898535,,
Cross Test Unem,0.542824074074,NA,,,,,,,-0.112373567709,
Cross Test Unem,0.542824074074,NA,,,,,,,,-0.0107650023489
Cross Test CPS,0.784897025172,NA,0.0135940855289,0.538956128611,0.0323329415421,0.0898616313522,0.298899262937,-0.0262698140271,-0.148648092218,0.026365205756
Cross Test CPS,0.787185354691,NA,,0.545756430178,0.0312103656963,0.0895397296136,0.299016154412,-0.0267825953534,-0.148557978032,0.0267241735338
Cross Test CPS,0.744851258581,NA,0.27626234984,,0.086071396665,0.119404666633,0.436105108872,-0.090770449303,-0.207283638007,0.0524325211864
Cross Test CPS,0.782608695652,NA,0.00912430593092,0.544213136914,,0.0951240520633,0.300509845025,-0.0202906810345,-0.146331907633,0.0285305374131
Cross Test CPS,0.783752860412,NA,0.00930989616316,0.548683911966,0.0487204577976,,0.309432974774,-0.0212477355401,-0.161299331819,0.0377873604189
Cross Test CPS,0.774599542334,NA,0.0138496788183,0.634669774173,0.0417594054074,0.111802035383,,0.0582810935558,-0.126696937231,0.0311672181167
Cross Test CPS,0.789473684211,NA,0.0144467300738,0.541682457655,0.0295982530483,0.0890550442917,0.292987091396,,-0.159457874087,0.0237718864554
Cross Test CPS,0.772311212815,NA,0.0125271429952,0.551215408711,0.0272115095809,0.0984603197276,0.291768217779,-0.0796570085058,,-0.0476894394319
Cross Test CPS,0.79061784897,NA,0.0142731137894,0.540112633222,0.0333638438818,0.0916242867787,0.299328476734,-0.023640004883,-0.132843597872,
Cross Test CPS,0.702517162471,NA,0.345490289376,,,,,,,
Cross Test CPS,0.768878718535,NA,,0.668124857927,,,,,,
Cross Test CPS,0.694508009153,NA,,,0.092019596924,,,,,
Cross Test CPS,0.691075514874,NA,,,,0.180722275565,,,,
Cross Test CPS,0.734553775744,NA,,,,,0.424958300778,,,
Cross Test CPS,0.694508009153,NA,,,,,,-0.0305636367079,,
Cross Test CPS,0.694508009153,NA,,,,,,,-0.109048233058,
Cross Test CPS,0.694508009153,NA,,,,,,,,-0.00867806951559
Cross Test Hos,0.8,NA,0.00468830109247,0.558648625176,0.0391162354125,0.105211149873,0.269431015022,-0.0294850403856,-0.106091657678,-0.00300049057128
