Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Accuracy,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Accuracy x Privacy,Accuracy x Volitionality,Accuracy x Outcome,Accuracy x Cycle,Accuracy x Disparity,Accuracy x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
Cross Test Rec,0.740093240093,NA,-0.00789341475499,0.542750138412,0.0451969101393,0.042817126731,0.339894828159,-0.0185319571393,-0.207238777582,0.0395341046696,-0.00397757868201,0.0164604497073,0.00315336626931,0.00938175165193,-0.0178441460938,-0.0144440694952,0.0188864405962,-0.0117194636323,0.032063993393,-0.0608374415787,0.0619555846197,0.0348092950714,-0.0512737554546,-0.00247471618764,0.0123464269502,-0.00360361006899,-0.0157369472573,0.0201682739726,0.0024690613589,0.0291383121849,0.0104428563454,-0.00351767572859,-0.0356264042575,-0.0118061734743,0.0295629340464,-0.0160290803332,0.0151207509262,-0.0325688703078
Cross Test Rec,0.741258741259,NA,,0.535529024406,0.060351713265,0.0478133433068,0.348304315338,-0.0345265473598,-0.219170435961,0.0560513441816,,,,,,,,-0.00401448544036,0.0331979949917,-0.0574311256626,0.055275760166,0.0272847578995,-0.0417008222278,-0.00406953004421,0.0110003361171,-0.00135292659154,-0.0156244573331,0.0189272646527,0.00283743077746,0.0302449221269,0.0109703663583,-0.0044849060091,-0.0354553231493,-0.0107619502745,0.0279386389449,-0.0148595969076,0.0146847030098,-0.0335821439294
Cross Test Rec,0.67365967366,NA,0.229213681603,,0.0762773972864,0.079095946485,0.449195360703,-0.0721245422482,-0.25128375862,0.0597868863416,,0.0184195183441,0.0144765806967,-0.00897165858873,0.00536180298924,0.00124936443726,-0.00838409674891,,,,,,,-0.00410339149166,0.0136098321282,0.00900298759361,-0.0228038610787,0.0291161185893,0.0144948178823,0.0182596260851,0.0193428739541,0.00664545376711,-0.0154302188973,0.00167831307415,0.0154336869993,-0.0275322043563,0.0136144320629,-0.0355698289351
Cross Test Rec,0.738927738928,NA,-0.0192140642859,0.550910992461,,0.04763742855,0.343173730738,-0.0107935951903,-0.209942956549,0.0479398311441,-0.000825629662737,,0.00855654054541,0.00684894850419,-0.0119490691628,-0.00987104767207,0.0148742767096,,0.0292419303231,-0.0584124691275,0.0600146757231,0.0315889202453,-0.0487281272964,,,,,,0.00337307673714,0.0297784565077,0.00795460318322,-9.87720448373e-05,-0.0342337021751,-0.0106645543475,0.0317472782813,-0.0204749188226,0.0226472595636,-0.0353001777157
Cross Test Rec,0.737762237762,NA,-0.0096612116213,0.549983591,0.0446506922323,,0.345137637021,-0.0187528548698,-0.204708039856,0.0437798462734,-0.00334472584877,0.0225221270553,,0.0105188008356,-0.0171549186824,-0.0205008967727,0.02005905978,-0.00471620649786,,-0.0558152413769,0.0641803462725,0.0337328673622,-0.0431448797752,,0.0122698261115,0.00455671504983,-0.0128045592555,0.0219062161932,,,,,-0.0279860856206,-0.0152707533644,0.0320233991985,-0.0198242963178,0.019829901302,-0.0325146549682
Cross Test Rec,0.731934731935,NA,-0.0204371262341,0.638926421088,0.0452758066585,0.0857853655564,,0.0864421429973,-0.178760571468,0.0333625499663,-0.00234019717866,0.0166250210951,-0.00169068470469,,-0.0107401934641,-0.0129276855833,0.0237147757759,-0.00288954047846,0.0263501590014,,0.0231323272359,0.031320918816,-0.0446561726052,-0.00427179146445,,-0.00428597777555,-0.00936561841464,0.0192304148824,,0.0267761408989,0.00607020774997,0.00362995212939,,,,-0.0405980397563,0.0373224070634,-0.0317198279912
Cross Test Rec,0.738927738928,NA,-0.0133456365297,0.554339439261,0.0440207202703,0.0449401669086,0.326660332068,,-0.216040771956,0.0393136429208,-0.00946793269376,0.016869978548,0.00394954487346,0.00835323231018,,-0.0187212964978,0.014148597827,-0.00711278386629,0.0256691789576,-0.0419174709201,,0.0643359024612,-0.0483651860441,0.000605505413469,0.00963649652413,,-0.0203229010747,0.021989892204,0.0112126661939,,0.0223975009075,-0.000370407902089,,-0.033398756056,0.0307607955793,,,-0.0328125589087
Cross Test Rec,0.736596736597,NA,-0.0157592753181,0.565943969115,0.0377061410592,0.0539307089596,0.333403848945,-0.094833571619,,-0.0615573636962,-0.00772581267396,0.0147976523507,0.00896393088083,0.00805840820149,-0.0226469137085,,0.0101864501328,-0.00756006526699,0.0233545149667,-0.0641189359207,0.0759944705096,,-0.0305966612787,-0.000282575663719,0.00834827464122,-0.0118044113893,,0.0156941369428,0.0055233552409,0.0295650634473,,0.00370657875926,-0.0409630695738,,0.0196992225355,,-0.010018671576,
Cross Test Rec,0.736596736597,NA,-0.0109626856286,0.551490236874,0.044049180975,0.0482142843853,0.336315507331,-0.00956935190532,-0.18240183166,,-0.00894919848555,0.0182641662942,0.00452222986269,0.0127772796364,-0.0155110279142,-0.00420164100426,,-0.0137927906937,0.0277151184573,-0.0642364042735,0.0584048179549,0.00344075515914,,-0.000990467625574,0.0151750197237,0.000313798798837,-0.00755341858763,,0.00516346605182,0.0275941776465,0.00831257409349,,-0.0334742117174,0.00488037767002,,-0.0171895564699,,
Cross Test Rec,0.7331002331,NA,-0.0484267418401,0.70179229319,,,,,,,-0.00623679938655,,,,,,,,,,,,,,,,,,,,,,,,,,,
