Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.769542619543,0.000195049643661,0.00168715723797,0.218785043341,0.0169924567967,0.0299543244974,0.0989885541613,-0.00404744568552,-0.0504623041759,0.00624472730795
All Domains,0.769548440748,0.00019171370463,,0.219650626754,0.0168387765364,0.0299150296229,0.0989740801756,-0.00405127934709,-0.0504391272119,0.00627660698478
All Domains,0.721278170478,0.000209987348299,0.10874784906,,0.0404373468893,0.0435884156142,0.174718039683,-0.031819499317,-0.0803561537812,0.0162327726603
All Domains,0.769364241164,0.000200033017704,-0.000941254592102,0.221909871442,,0.032643170268,0.0997573514059,-0.000717959665634,-0.0489834113679,0.00753085253543
All Domains,0.77024989605,0.000194817970717,0.00133633390502,0.222215398884,0.0224168921408,,0.102998216885,-0.00182625779737,-0.0539405952918,0.0105208070417
All Domains,0.761738877339,0.000196024179083,-0.0011815527982,0.26189038491,0.0192209028575,0.0375279965385,,0.0214131141375,-0.0438780477658,0.00704557574225
All Domains,0.769821621622,0.000198994624602,0.00170104441191,0.219280476655,0.0165349147946,0.0297466251492,0.0981370603186,,-0.0521903761874,0.0058413698604
All Domains,0.76538960499,0.000195200358627,0.00104917565104,0.223781778128,0.0149684498008,0.0320539258266,0.0968264873219,-0.0224233083818,,-0.0196424901809
All Domains,0.769291060291,0.000196717019202,0.0018429909146,0.219110207467,0.0173097863732,0.0304117294683,0.0990204849129,-0.00346479603855,-0.0465730012556,
All Domains,0.672643659044,0.000217835453342,0.156734726551,,,,,,,
All Domains,0.754913929314,0.000218907980903,,0.275588974938,,,,,,
All Domains,0.622724324324,0.000221492730734,,,0.0510236752824,,,,,
All Domains,0.627967983368,0.000232125208943,,,,0.0874305179304,,,,
All Domains,0.696466528067,0.000202027693011,,,,,0.191063563829,,,
All Domains,0.622903118503,0.000225789254896,,,,,,-0.0125768615775,,
All Domains,0.622674428274,0.000217281099909,,,,,,,-0.0505902128481,
All Domains,0.622736798337,0.00022002674952,,,,,,,,-0.00620987624519
Within Rec,0.737386946387,0.000473436445539,0.0366685481929,0.220205950512,-0.0248246299385,0.0347858149926,0.0842529407862,-0.0342117983036,0.0322113488879,-0.0265849530629
Within Rec,0.736344988345,0.000477293787014,,0.243475290164,-0.0284604202065,0.0365256051641,0.0829241618765,-0.0324768205951,0.0310410277379,-0.0239345464915
Within Rec,0.700869463869,0.000535587359706,0.16388236967,,-0.00558132960396,0.0384792125657,0.16638223986,-0.0599219660781,0.0144266592151,-0.0177643949324
Within Rec,0.741151515152,0.000470091885751,0.0406692036661,0.215749554417,,0.0274422447136,0.0823914173873,-0.0396576348561,0.0303103136006,-0.0300814559279
Within Rec,0.74027039627,0.000475534998294,0.0398107994579,0.219616431896,-0.014295005786,,0.0896953673715,-0.0327022385615,0.0288290495651,-0.0224836146456
Within Rec,0.739522144522,0.000474881177821,0.0332372139922,0.258176771652,-0.0212342574014,0.0438844793702,,-0.0154451694931,0.0321600563793,-0.024382773459
Within Rec,0.740079254079,0.000474926926281,0.0349597264688,0.223451017275,-0.0296916853388,0.0338836796228,0.0777332324853,,0.0161224768166,-0.0256451756401
Within Rec,0.738834498834,0.00049357418169,0.0354230715615,0.21813271049,-0.0244921628995,0.0334797547161,0.0840426536527,-0.0220200460963,,-0.00796819412065
Within Rec,0.737351981352,0.000472372259777,0.0350683299011,0.219264769911,-0.0274183729616,0.0334769909111,0.0839335994604,-0.0334878123376,0.0138655793376,
Within Rec,0.663804195804,0.000505548423182,0.220025224496,,,,,,,
Within Rec,0.749254079254,0.000473040051617,,0.280551497308,,,,,,
Within Rec,0.503827505828,0.000770166136827,,,0.0220362392158,,,,,
Within Rec,0.570358974359,0.000513999316737,,,,0.0914496336454,,,,
Within Rec,0.674291375291,0.000518117189728,,,,,0.214719055243,,,
Within Rec,0.504454545455,0.000896093388909,,,,,,-0.0181160554954,,
Within Rec,0.499848484848,0.000675201205581,,,,,,,-0.0130989739553,
Within Rec,0.498694638695,0.000690733095938,,,,,,,,0.0161996859327
Within Unem,0.695921296296,0.00052588888233,-0.0172482442184,0.196999202286,0.0316905497794,0.0670960914423,0.055804217707,0.0455545854107,-0.0565482004576,-0.00180908265488
Within Unem,0.697643518519,0.000519305394612,,0.188973233102,0.0334754058597,0.0690034658188,0.0559797997765,0.0454787724224,-0.0571742338208,-0.00235277901141
Within Unem,0.626923611111,0.000568090963703,0.0661689682911,,0.0333734270578,0.0995298483253,0.103708417966,0.0149999566774,-0.0845433254657,0.0107143488928
Within Unem,0.692793981481,0.000514337063707,-0.0221256872957,0.197052165803,,0.0702613004782,0.0553104106131,0.0501664849196,-0.0500633120247,0.000676241049635
Within Unem,0.694791666667,0.000503507144451,-0.02995578969,0.214521396002,0.0400594074703,,0.0597556345567,0.0429636769573,-0.0676672447918,0.00358048067232
Within Unem,0.699671296296,0.000505314525713,-0.0165927844596,0.209480132941,0.0302654400518,0.0696607781184,,0.0646417404879,-0.0508067017617,-0.00309870132955
Within Unem,0.691930555556,0.000516802553154,-0.0169765046081,0.191076855685,0.0357397192944,0.0663399188587,0.067874853155,,-0.0401630684967,0.00457445512177
Within Unem,0.691275462963,0.00052493888689,-0.0184136558347,0.202197616646,0.0257970427129,0.0706227036225,0.0524888794471,0.028425320774,,-0.0302727561843
Within Unem,0.698122685185,0.000523584504598,-0.0172792532509,0.196917934556,0.0316379952029,0.0670486736416,0.0558358316523,0.0452689932288,-0.0576035281262,
Within Unem,0.579083333333,0.000679938713995,0.0626261889493,,,,,,,
Within Unem,0.687354166667,0.000499676392549,,0.215457799282,,,,,,
Within Unem,0.532006944444,0.000514589578451,,,0.0224912858056,,,,,
Within Unem,0.608861111111,0.000544570015363,,,,0.113492665647,,,,
Within Unem,0.59825,0.000549197574649,,,,,0.107491791586,,,
Within Unem,0.538266203704,0.000558898767484,,,,,,0.0058448252405,,
Within Unem,0.55475462963,0.000806910696965,,,,,,,-0.0505882460617,
Within Unem,0.543291666667,0.000698722579605,,,,,,,,-0.0183695006697
Within CPS,0.78443020595,0.000481412772289,-0.0186078162756,0.234102783486,0.0192477804695,0.0416852233932,0.0700644232335,-0.0019901076101,-0.0372467352518,-0.0412230816906
Within CPS,0.787217391304,0.000469826752131,,0.225030958138,0.0215782887641,0.0410065609898,0.0728586254143,-0.00409252955705,-0.0368942839575,-0.0430538338805
Within CPS,0.75104805492,0.000477182388074,0.0875880362586,,0.0449250778677,0.0560798759044,0.162976954501,-0.0343299815979,-0.0611998590527,-0.0504808698958
Within CPS,0.784597254005,0.000473483257276,-0.0219851223552,0.237675348507,,0.0450876879662,0.0717989342595,0.00158032125622,-0.0368399683867,-0.0393405279305
Within CPS,0.779631578947,0.000452832362277,-0.0148544518357,0.238166697239,0.0266976579086,,0.0838350173886,0.00344988775254,-0.0378751521109,-0.0332821535995
Within CPS,0.785224256293,0.000477565681695,-0.0293451108884,0.272549639285,0.0222388359888,0.0596481409067,,0.0110844295172,-0.0381209362016,-0.0394379668329
Within CPS,0.785549199085,0.000489700221185,-0.0184517938319,0.234243671262,0.0188941541124,0.0415501396612,0.0704849090668,,-0.0383148178381,-0.0416095741978
Within CPS,0.784061784897,0.000484297063971,-0.0176560365399,0.236770138499,0.0188077435839,0.0421024486699,0.0706797767,-0.0168342666722,,-0.0623333080749
Within CPS,0.785803203661,0.000474607487428,-0.0213435716259,0.235437294037,0.0169473415684,0.0377151273421,0.0694592811374,-0.00185989584648,-0.0649065806062,
Within CPS,0.698180778032,0.000513046546579,0.118209662412,,,,,,,
Within CPS,0.783414187643,0.00046097588345,,0.287923435695,,,,,,
Within CPS,0.694917620137,0.000506920680402,,,0.0702517278484,,,,,
Within CPS,0.691899313501,0.000446690506307,,,,0.107039020766,,,,
Within CPS,0.742151029748,0.00049608005579,,,,,0.188010256451,,,
Within CPS,0.693691075515,0.000484203844717,,,,,,-0.0264565430271,,
Within CPS,0.695251716247,0.000485132983845,,,,,,,-0.0685648493023,
Within CPS,0.694750572082,0.000498815316938,,,,,,,,-0.0462356904063
Within Hos,0.790660606061,0.000532611151616,-0.000956832068828,0.179920032127,0.0178336583949,-0.0109332663105,0.133223107534,0.0323851511173,-0.132737766077,0.0392266223902
Within Hos,0.79276969697,0.000517163008105,,0.17971744006,0.0179398089613,-0.0107182231901,0.133349986047,0.0323912616121,-0.132862559393,0.0395685035074
Within Hos,0.76673030303,0.000561374394678,0.0925211890512,,0.0241799950596,-0.0142526522086,0.185432128176,0.0105916655151,-0.150430402675,0.0625259789007
Within Hos,0.791524242424,0.00053518087347,-0.00407353718133,0.181315284937,,-0.00724928424879,0.135007965203,0.0364462147899,-0.131410304237,0.0391686563485
Within Hos,0.791484848485,0.000509651442731,-0.00196358194955,0.180472605499,0.0150351631883,,0.131948848778,0.031172036295,-0.130770537494,0.036799501086
Within Hos,0.78146969697,0.00050957816737,0.00113462691203,0.247962272386,0.0337805838687,-0.00271660051649,,0.0589417085575,-0.120620447066,0.0358324147955
Within Hos,0.794160606061,0.000531647226701,-0.00273257319767,0.174756499607,0.0207864857831,-0.0092987257123,0.138577942945,,-0.118657871802,0.0447504426192
Within Hos,0.780190909091,0.000535514315239,0.00430488635984,0.19381328615,0.0138779042924,-0.00130919739376,0.124651230294,-0.0235145539513,,-0.0141747422158
Within Hos,0.790248484848,0.00053475720414,-0.00508283892996,0.188600475376,0.0166333859865,-0.0053006618412,0.132549491699,0.0416576653489,-0.114393291411,
Within Hos,0.717115151515,0.000528738302274,0.173443434909,,,,,,,
Within Hos,0.773775757576,0.000507848143741,,0.266823319275,,,,,,
Within Hos,0.69536969697,0.000561314274422,,,0.0341109916298,,,,,
Within Hos,0.695021212121,0.000566792528038,,,,0.0143847297935,,,,
Within Hos,0.739139393939,0.000551749002171,,,,,0.192783966012,,,
Within Hos,0.695572727273,0.000582539281945,,,,,,-0.0287721205034,,
Within Hos,0.690927272727,0.000534391710377,,,,,,,-0.0982352482111,
Within Hos,0.69476969697,0.000561279131015,,,,,,,,-0.0119999974471
Within Loan,0.839819025522,0.000422501377408,-0.0356684906729,0.232831478284,-0.0143521737764,0.00556132032684,0.158172794762,-0.0384209825452,-0.0590279402649,0.00991455287117
