Test,Second Batch,,Accuracy Batch,,No Rel Batch,
,Accuracy,Error,Accuracy,Error,Accuracy,Error
All Domains,0.820236803874,0.000191193381485,0.768027858628,0.00020377178313,0.731191690662,0.000203564707193
Within Rec,0.825918032787,0.000469004567828,0.73489044289,0.000495837803091,0.724766292135,0.000520549650839
Within Unem,0.777010869565,0.000503449266936,0.696861111111,0.000545735183653,0.679218604651,0.000603412090117
Within CPS,0.826528150134,0.00047207053684,0.783986270023,0.000473160758047,0.792917241379,0.000448343499026
Within Hos,0.788271126761,0.000572811716481,0.791360606061,0.00053463964441,0.746394736842,0.000562641314342
Within Loan,0.875883597884,0.000417938362546,0.839345707657,0.000395988224543,0.780143181818,0.000468348918201
Within Ins,0.805037414966,0.000542073130398,0.737112716763,0.000570370177698,0.667727002967,0.000588396269129
Cross Test Rec,0.837431693989,NA,0.740093240093,NA,0.730337078652,NA
Cross Test Unem,0.781546811398,NA,0.690972222222,NA,0.663182346109,NA
Cross Test CPS,0.81124497992,NA,0.784897025172,NA,0.792192881745,NA
Cross Test Hos,0.792618629174,NA,0.8,NA,0.753284671533,NA
Cross Test Loan,0.873183619551,NA,0.82966396292,NA,0.773863636364,NA
Cross Test Ins,0.81462585034,NA,0.757225433526,NA,0.654814814815,NA
Cross Train Rec,0.808711006474,NA,0.758917278017,NA,0.731873111782,NA
Cross Train Unem,0.826112584733,NA,0.769191791234,NA,0.732816795801,NA
Cross Train CPS,0.788944723618,NA,0.754381508763,NA,0.709847156101,NA
Cross Train Hos,0.818028643639,NA,0.753794266442,NA,0.727076849413,NA
Cross Train Loan,0.802253187074,NA,0.737841945289,NA,0.721496735309,NA
Cross Train Ins,0.801524562394,NA,0.748725418791,NA,0.728206352997,NA
