Domain,Comparison,Age,Gender,Marital and Family,Employment,Credit,Education,Residence,History of Health
Ins,18-29 vs 30-39,0.706865960778,0.571464074319,0.893525599634,0.104950613593,0.0134848915736,0.104244535373,0.557532622734,0.802724970995
Ins,18-29 vs 40-49,0.145001389541,0.0053226978548,0.0126296125288,0.0409811407598,2.3093249168e-05,0.0164046322635,0.227995114153,0.356572531565
Ins,18-29 vs 50-59,0.0386298312382,0.200471113652,0.603946463403,0.000712049115313,5.34603097862e-07,0.00546161173065,0.527126667551,0.436156639035
Ins,18-29 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA
Ins,18-29 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA
Ins,30-39 vs 40-49,0.197300223116,0.0134043887814,0.0189113551546,0.314225903366,0.00503449140614,0.235543187255,0.0775239108839,0.209481130083
Ins,30-39 vs 50-59,0.0656285868242,0.359609453594,0.703827237323,0.01080609121,0.000609757904778,0.139296673764,0.286331236176,0.247280001981
Ins,30-39 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA
Ins,30-39 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA
Ins,40-49 vs 50-59,0.542998921432,0.333896070464,0.159540092927,0.229812052334,0.617606672801,0.801422252879,0.701024872005,0.941880032109
Ins,40-49 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA
Ins,40-49 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA
Ins,50-59 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA
Ins,50-59 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA
Ins,60-69 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA
Ins,Less than high School vs High School,NA,NA,NA,NA,NA,NA,NA,NA
Ins,Less than high School vs Associate or Diploma,NA,NA,NA,NA,NA,NA,NA,NA
Ins,Less than high School vs Bachelor,NA,NA,NA,NA,NA,NA,NA,NA
Ins,Less than high School vs Graduate,NA,NA,NA,NA,NA,NA,NA,NA
Ins,High School vs Associate or Diploma,0.774325081193,0.191345692134,0.170549909766,0.380796499621,0.386949732636,0.000324632518297,0.254190834642,0.35360259986
