Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Within Rec,0.883756597085,0.000142783072659,,-1.25139666338,,,,,,
Within Rec,0.797675462781,0.000185396434408,,,0.336800189831,-0.242078227642,-0.749679084171,0.158549218986,0.0212569176296,-0.106111106044
Within Rec,0.822866876723,0.000172773186217,-0.636739072884,,,-0.204172659444,-0.717909037215,0.212101551958,0.0637921857694,-0.0501246674237
Within Rec,0.823415911776,0.000169576770052,-0.585832131497,,0.169606521081,,-0.725790340218,0.190217280222,0.0159485043285,-0.100387965085
Within Rec,0.796773139031,0.000187845054323,-0.649605547456,,0.288705303347,-0.320330430274,,0.0788743438698,0.0657505469033,-0.167237149422
Within Rec,0.825924379677,0.000178515767573,-0.579092959063,,0.224574622238,-0.23760547546,-0.659366817632,,0.10950498776,-0.0627635213897
Within Rec,0.829439149271,0.000167048271771,-0.585099511387,,0.211879153305,-0.237199214441,-0.690417942365,0.201062361272,,-0.0585024596064
Within Rec,0.828732965735,0.00017481725811,-0.587823468209,,0.203810003806,-0.244249145967,-0.698568129934,0.185998071751,-0.00134409366681,
Within Rec,0.787132335565,0.000198366085247,,,,-0.170204948268,-0.800817906674,0.203979915768,0.0730776456275,-0.0632005749103
Within Rec,0.794093737692,0.00017840912459,,,0.287776280297,,-0.782911696441,0.157425161897,-0.000569122383429,-0.143310910343
Within Rec,0.727453328082,0.000216262184401,,,0.42937476693,-0.317550693836,,0.0332439189359,0.0364693906482,-0.208808636635
Within Rec,0.796464356046,0.000185896642452,,,0.35230226168,-0.240382326978,-0.724174069928,,0.0838635950645,-0.0934520108512
Within Rec,0.797678219772,0.00018307309353,,,0.338688548269,-0.240939605663,-0.749953954329,0.165352148362,,-0.0966620001988
Within Rec,0.796493107523,0.000184546551651,,,0.329063929008,-0.252165844872,-0.761884796459,0.151038721438,-0.0324392833731,
Within Rec,0.819769200473,0.000177682813131,-0.626488454088,,,,-0.743907676671,0.210078913658,0.042561523189,-0.075942003082
Within Rec,0.783016935801,0.000192730797944,-0.719766305429,,,-0.268434561367,,0.113195702913,0.106541649931,-0.138563919842
Within Rec,0.816403702245,0.000169543622933,-0.635107900602,,,-0.200684115981,-0.686897750888,,0.152592302866,-0.0382570898902
Within Rec,0.821645923592,0.000177769725652,-0.637319291805,,,-0.200133587234,-0.720270195497,0.234725657908,,-0.0223772567667
Within Rec,0.821536431666,0.000167994536033,-0.637093374077,,,-0.208175954274,-0.723802219164,0.20964961286,0.0387218695405,
Within Rec,0.780295391887,0.000187997979568,-0.65108366564,,0.234000043162,,,0.0656015828968,0.0430139662346,-0.219436024065
Within Rec,0.820977156361,0.000169373316222,-0.579513280499,,0.185674404034,,-0.694497420418,,0.0931892133373,-0.0893671083396
Within Rec,0.823709728239,0.000170548818459,-0.585590029166,,0.171008753729,,-0.726211033878,0.195812759204,,-0.0935043849321
Within Rec,0.824334383616,0.00017151344227,-0.590330961718,,0.160439991561,,-0.739608512661,0.184855375321,-0.0341628354203,
Within Rec,0.797804647499,0.000182807485804,-0.64557788128,,0.29580702484,-0.317927906954,,,0.0983117033069,-0.160359999999
Within Rec,0.795805829067,0.000189214924497,-0.647749881506,,0.294285870142,-0.317404121058,,0.100809267063,,-0.138529186986
Within Rec,0.7945825128,0.000180006280822,-0.655817056656,,0.277669300185,-0.337922020063,,0.0662343000694,-0.0188432567341,
Within Rec,0.824921622686,0.000167857029098,-0.575421882696,,0.239611931478,-0.232071088851,-0.656315708169,,,-0.00710505940547
Within Rec,0.825592359197,0.000166746771296,-0.580799757592,,0.220147289011,-0.242310819065,-0.667732978826,,0.0775836195584,
Within Rec,0.828679795195,0.000171708387094,-0.587903938595,,0.203603480719,-0.244426157297,-0.698691000756,0.185459473566,,
Within Rec,0.780026388342,0.00019899939198,,,,,-0.820260578695,0.19849147989,0.053249816411,-0.0937710626019
Within Rec,0.642918471839,0.000237192072301,,,,-0.229632380412,,0.0874684347081,0.105554844915,-0.156462870952
Within Rec,0.779251673887,0.00018608629407,,,,-0.164068664424,-0.771603938951,,0.159321958752,-0.0455207623317
Within Rec,0.785732965735,0.000187068268022,,,,-0.165376604123,-0.802761957689,0.229376328881,,-0.0300576757086
Within Rec,0.785330051201,0.000182863821172,,,,-0.177020812428,-0.807378762779,0.199328467003,0.0404822800368,
Within Rec,0.689871209137,0.000307432280996,,,0.364197717851,,,0.0151920644518,0.0176570330773,-0.260342567681
Within Rec,0.79036904293,0.000191462279487,,,0.30306893089,,-0.756671234344,,0.0638181691257,-0.130227378071
Within Rec,0.794232374951,0.000186831318714,,,0.287731459737,,-0.782924308759,0.157229189051,,-0.143562566289
Within Rec,0.790891295786,0.000190692169535,,,0.274101275776,,-0.801240647399,0.147050138601,-0.0759835574342,
Within Rec,0.727059866089,0.000214360797847,,,0.432646423239,-0.316377137254,,,0.0510072437444,-0.205650444543
Within Rec,0.727893658921,0.000212104862917,,,0.432607780083,-0.316240542354,,0.0455156738311,,-0.192312460515
Within Rec,0.717784166995,0.000212303444729,,,0.413714127224,-0.33873783088,,0.0157648024238,-0.072351628301,
Within Rec,0.796532099252,0.000183003954351,,,0.36427471705,-0.235505706271,-0.720952521959,,,-0.0484844589017
Within Rec,0.795841276093,0.000183297782636,,,0.344844100219,-0.249289838142,-0.73600440016,,0.0337642911355,
Within Rec,0.795805435211,0.000180370166716,,,0.323967958739,-0.256137249502,-0.763564827128,0.136319454953,,
Within Rec,0.770383615597,0.000190384248764,-0.706135321672,,,,,0.0972489820184,0.0851377462606,-0.185172566059
Within Rec,0.815037810161,0.000173615013716,-0.624406541077,,,,-0.711675572112,,0.132049893705,-0.0625895087661
Within Rec,0.820343048444,0.000167833611901,-0.626874744432,,,,-0.745382645729,0.225556943614,,-0.0567902704935
Within Rec,0.820022055928,0.000171465420471,-0.627702620666,,,,-0.75381383498,0.205638559261,0.00314522390931,
Within Rec,0.778059472233,0.000183862726102,-0.71682894493,,,-0.263675277087,,,0.155656475481,-0.128214975107
Within Rec,0.784369830642,0.000182222861091,-0.719423794183,,,-0.263475901667,,0.149955866262,,-0.0894631755948
Within Rec,0.78197439937,0.000182645766861,-0.72184259903,,,-0.283609839922,,0.10235483234,0.0336325521462,
Within Rec,0.816257581725,0.000180479472692,-0.636045752886,,,-0.189526047282,-0.684809305847,,,0.0430863073849
Within Rec,0.816524222135,0.000172086559811,-0.635137202979,,,-0.20364248658,-0.691625406399,,0.132588186035,
Within Rec,0.821870421426,0.000181845737017,-0.637389023055,,,-0.203284525977,-0.723021259557,0.228199907148,,
