Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.731191690662,0.000203564707193,0.317067297513,0.0362720881454,0.100242862519,0.492517063476,0.00478229478055,-0.263299718672,0.0853778946243
Within Rec,0.724766292135,0.000520549650839,0.413165477265,-0.0506600999881,0.11153259048,0.473451189143,-0.00145534686089,-0.224168504224,0.07337587561
Within Unem,0.679218604651,0.000603412090117,0.261406836371,-0.0193461961842,0.209573774346,0.29301284446,0.0609890222798,-0.32824749098,0.104447339837
Within CPS,0.792917241379,0.000448343499026,0.308425566529,0.0231167216574,0.277928996888,0.559139547944,-0.0866641184091,-0.201352468883,0.0271909623512
Within Hos,0.746394736842,0.000562641314342,0.392580831685,0.0910639572717,0.0107711466605,0.527215656248,0.0573564260154,-0.33440960239,0.142841977024
Within Loan,0.780143181818,0.000468348918201,0.314806047121,0.0240733172441,0.0921275929486,0.631375282874,0.00677935087831,-0.261318406351,0.0102093170886
Within Ins,0.667727002967,0.000588396269129,0.176912313959,0.0677714553324,-0.0523411227356,0.491878209609,-0.0125441402908,-0.127459659237,0.0282602317417
Cross Test Rec,0.730337078652,NA,0.282675136814,0.0619595428491,0.0978015404095,0.497397100253,0.00455853298485,-0.271917760743,0.0842248107782
Cross Test Unem,0.663182346109,NA,0.33014457218,0.0365651455828,0.0639261792306,0.548470119683,0.00538451679451,-0.238804011421,0.078503643291
Cross Test CPS,0.792192881745,NA,0.317304658482,0.0300346234469,0.0846911960847,0.473614308601,0.00923392234948,-0.268628253718,0.0844412614599
Cross Test Hos,0.753284671533,NA,0.30402165344,0.0259794795415,0.118845198468,0.486411804242,0.000460604768877,-0.246185791822,0.0722547882215
Cross Test Loan,0.773863636364,NA,0.311525812606,0.0348140253665,0.0894849204302,0.472635007775,0.00510110842781,-0.261865375074,0.0986484517798
Cross Test Ins,0.654814814815,NA,0.354950944198,0.0243250678376,0.14802311758,0.479923140781,0.0054294215951,-0.289049975077,0.0890616740318
Cross Train Rec,0.731873111782,NA,0.413165477265,-0.0506600999881,0.11153259048,0.473451189143,-0.00145534686089,-0.224168504224,0.07337587561
Cross Train Unem,0.732816795801,NA,0.261406836371,-0.0193461961842,0.209573774346,0.29301284446,0.0609890222798,-0.32824749098,0.104447339837
Cross Train CPS,0.709847156101,NA,0.308425566529,0.0231167216574,0.277928996888,0.559139547944,-0.0866641184091,-0.201352468883,0.0271909623512
Cross Train Hos,0.727076849413,NA,0.392580831685,0.0910639572717,0.0107711466605,0.527215656248,0.0573564260154,-0.33440960239,0.142841977024
Cross Train Loan,0.721496735309,NA,0.314806047121,0.0240733172441,0.0921275929486,0.631375282874,0.00677935087831,-0.261318406351,0.0102093170886
Cross Train Ins,0.728206352997,NA,0.176912313959,0.0677714553324,-0.0523411227356,0.491878209609,-0.0125441402908,-0.127459659237,0.0282602317417
Cross Rec v Unem,0.67131242741,NA,,,,,,,
Cross Rec v CPS,0.795637198622,NA,,,,,,,
Cross Rec v Hos,0.757664233577,NA,,,,,,,
Cross Rec v Loan,0.776136363636,NA,,,,,,,
Cross Rec v Ins,0.642962962963,NA,,,,,,,
Cross Unem v Rec,0.741573033708,NA,,,,,,,
Cross Unem v CPS,0.781859931114,NA,,,,,,,
Cross Unem v Hos,0.725547445255,NA,,,,,,,
Cross Unem v Loan,0.768181818182,NA,,,,,,,
Cross Unem v Ins,0.619259259259,NA,,,,,,,
Cross CPS v Rec,0.71797752809,NA,,,,,,,
Cross CPS v Unem,0.662020905923,NA,,,,,,,
Cross CPS v Hos,0.747445255474,NA,,,,,,,
Cross CPS v Loan,0.781818181818,NA,,,,,,,
Cross CPS v Ins,0.628148148148,NA,,,,,,,
Cross Hos v Rec,0.739325842697,NA,,,,,,,
Cross Hos v Unem,0.656213704994,NA,,,,,,,
Cross Hos v CPS,0.788748564868,NA,,,,,,,
Cross Hos v Loan,0.780681818182,NA,,,,,,,
Cross Hos v Ins,0.651851851852,NA,,,,,,,
Cross Loan v Rec,0.731460674157,NA,,,,,,,
Cross Loan v Unem,0.664343786295,NA,,,,,,,
Cross Loan v CPS,0.796785304248,NA,,,,,,,
Cross Loan v Hos,0.750364963504,NA,,,,,,,
Cross Loan v Ins,0.654814814815,NA,,,,,,,
Cross Ins v Rec,0.722471910112,NA,,,,,,,
Cross Ins v Unem,0.635307781649,NA,,,,,,,
Cross Ins v CPS,0.779563719862,NA,,,,,,,
Cross Ins v Hos,0.743065693431,NA,,,,,,,
Cross Ins v Loan,0.7625,NA,,,,,,,
