Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
All Domains,0.737079391197,0.000213197349973,0.303198260223,-0.017484338494,0.0878987775803,0.47734103093,-0.041116089998,-0.218522483554,0.0451659865582,0.0268226092014,-0.0146698997611,0.00774363977882,0.0440953307678,-0.0398209708244,0.0301425733553,0.000266138265106,0.0062508715693,-0.0153398965851,0.0260647020993,0.0334352260141,-0.00439484911321,0.0344087390412,0.0336632603277,-0.0226084781962,-0.0140734817579,0.00571498673011,-0.00407257353341,-0.048689468044,0.0386838311711,-0.0631528468597
Within Rec,0.696693820225,0.000641548888947,0.313109057615,-0.193078915765,0.211012861304,0.23329679315,-0.151698296894,-0.303804104569,0.204894854159,-0.0497260659233,-0.0979839923534,0.0472915735785,0.022096457717,-0.00383993319808,0.00197645319934,0.0725827262768,0.0414196391301,-0.0548232637003,0.000124099286728,0.0736596786759,-0.0306374248546,0.0373453461067,0.0164333594075,-0.0436106389129,0.0494992832387,0.0328894219658,-0.0555785730236,0.0312028761962,-0.062464750961,0.00972883849815
Within Unem,0.638653179191,0.000680122965593,0.185853304074,-0.128624342617,0.0433029112481,0.289824376314,0.050282317357,-0.277358383263,-0.0213276766147,0.0712497259945,0.0511906766547,0.00224807863113,0.0775490303017,-0.0431935977914,0.0756648955418,0.0503467762985,-0.0225245857114,0.0150008183181,0.0435111074743,0.004050782336,0.021688920943,0.0523847829711,0.00115071673228,-0.0181698204476,-0.0731881099174,-0.0194932282687,0.021186958119,0.0139312445088,-0.0494242296369,-0.0366947512689
Within CPS,0.734426934097,0.0005727200011,0.0937262585126,0.0700015999516,0.242786776668,0.256355624767,-0.0354131671305,-0.156338166572,-0.0897341002676,0.0299564590235,0.00162004591257,0.104580056691,-0.0364396121856,0.0532857472224,0.0564179031335,0.0386069842302,-0.0641326547459,0.0170622279747,-0.0380009493198,0.0817620624887,-0.0359468703812,-0.0715651451079,0.0480871220916,0.0204218119768,0.0396568359629,0.110399193403,0.00415750385935,-0.0431414428387,0.0259442527653,0.0176217624753
Within Hos,0.665872053872,0.000695830271248,0.300701073604,0.00100888374816,0.0593328088772,0.316011570926,-0.0649123229564,-0.301830081098,0.0968939981915,0.0582688053621,0.00352909933391,0.00769206881002,0.0321461372802,-0.0165990825106,0.0387706642109,-0.0455565933328,0.0644216608619,0.000523961230887,0.121549693522,-0.042464863531,-0.0421419913851,0.0354994105738,-0.00101100959513,0.0110173079469,-0.0318461016964,0.08970342456,-0.0602743468917,-0.0437577537101,0.0451587177277,-0.0878641935028
Within Loan,0.71512034384,0.000628325388993,0.183047688507,0.00106403162956,0.190737671035,0.417695313563,-0.18627508742,-0.0891420815701,0.179388344079,0.0234130500283,-0.0494771728384,0.070772302168,0.0116703794538,-0.0650689516629,-0.0662496947067,-0.0302247833911,-0.0930067275292,0.0116906511336,-0.00957037328265,0.0304669541161,0.0438765671279,0.0339218116817,0.0292114614413,-0.0191028474323,0.109622802895,0.00323121869115,0.0350548881249,-0.0086368742701,-0.0360441504582,0.0444436918539
Within Ins,0.626955782313,0.00072293555579,0.120912422009,-0.00162368842945,-0.0689040242037,0.520591993567,-0.26440014443,0.0395866401897,0.101038713814,-0.000830309372119,-0.0202996822825,-0.05701509906,0.0934219821178,-0.0636984906566,0.032859998459,0.0121308964721,-0.0488702297528,-0.00178638351378,0.0964168729266,-0.00868094953073,0.00946777280901,-0.00214678277381,-0.0163783560941,0.0430216503716,0.0828371375322,-0.0878046615233,-0.00169904779684,0.0151855921516,0.0893558855705,-0.0500897119063
Cross Test Rec,0.733707865169,NA,0.27025492639,-0.0387479035775,0.0602123856757,0.479247400986,-0.0554884035724,-0.192561435906,0.0298597915488,0.056751516219,-0.00247425632063,0.012230989331,0.0430689385529,-0.0618738239338,0.0443555808595,-0.00156366197375,-0.00385452104957,-0.00148682072718,0.0335891281174,0.028458246659,0.00217791112839,0.0236483637739,0.0294992345934,-0.0173810080244,-0.00465028370375,-0.00600716015076,0.00656466293241,-0.0545450381587,0.047446874794,-0.0788337197661
Cross Test Unem,0.668989547038,NA,0.319933720417,0.0152877905101,0.0764750004297,0.507285331922,-0.0261119490771,-0.216574292116,0.0623013738991,0.0046613239489,-0.0272698714358,0.021027718155,0.0370902624417,-0.0218333838404,0.00537934809606,-0.00211192736788,0.0121935536515,-0.0299150430005,0.0165093223186,0.0451649519712,-0.00490318248039,0.0176701593408,0.0367357059612,-0.018477244978,-0.00205743482077,0.0188428736412,-0.00312966615988,-0.0585832963994,0.0333965151886,-0.0445707808191
Cross Test CPS,0.793340987371,NA,0.323296296215,-0.0172082014109,0.0919823743253,0.479154388021,-0.0464899236121,-0.221631841461,0.0590375476815,0.0245877478783,-0.0259707898569,-0.00357104852429,0.0487538416675,-0.0492816722078,0.0212725058009,-0.00478037261546,0.00211594861601,-0.00831888922905,0.0281252759453,0.0283066497747,-0.00239153550063,0.0379745047273,0.0393681900138,-0.0257974587172,-0.0223682669156,-0.00395935813588,0.00104884268471,-0.0448057371484,0.0315698794434,-0.0592605372017
