Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.730784862197,0.000205174762883,0.317067297513,0.0362720881454,0.100242862519,0.492517063476,0.00478229478055,-0.263299718672,0.0853778946243
All Domains,0.722981900452,0.000200372794348,,0.00863897901485,0.114855314686,0.518021594928,-0.0116017581497,-0.248855938896,0.0993480197626
All Domains,0.731273961333,0.000201711227566,0.31355072388,,0.107566942286,0.495024943395,0.0112522232793,-0.261295292101,0.0870920585554
All Domains,0.729811188811,0.000211189524422,0.32323097411,0.0592171489597,,0.506997764372,0.00938140927877,-0.277757719584,0.0994052306372
All Domains,0.688572192513,0.00022618254785,0.357633452981,0.0617581356578,0.147848655625,,0.142547302062,-0.273349854667,0.105740216772
All Domains,0.731130810366,0.000205301363637,0.316908484441,0.0367624998536,0.100337859489,0.493445201494,,-0.261092674507,0.0857232204352
All Domains,0.728098724805,0.000206318824592,0.310035966235,0.0299760106844,0.112764886655,0.492638293399,-0.0927689957838,,-0.054021682944
All Domains,0.730271081859,0.000207007101302,0.319616753695,0.0385548268748,0.105749691373,0.495046453028,0.0108475465255,-0.20766745395,
All Domains,0.68627848622,0.000212742004632,0.351147274326,,,,,,
All Domains,0.641883998355,0.000219759347425,,0.0761416657362,,,,,
All Domains,0.640034553682,0.000213045480349,,,0.182839003971,,,,
All Domains,0.718239819005,0.000199827694744,,,,0.499784388993,,,
All Domains,0.641540518305,0.000207379594421,,,,,0.0646542535187,,
All Domains,0.642043192102,0.000214327817541,,,,,,-0.0613453519367,
All Domains,0.641675030852,0.000217782193815,,,,,,,0.0374946872758
Within Rec,0.72611011236,0.000535065252142,0.413165477265,-0.0506600999881,0.11153259048,0.473451189143,-0.00145534686089,-0.224168504224,0.07337587561
Within Rec,0.703964044944,0.000527172702621,,-0.146840584812,0.123053513477,0.512663666254,-0.0227531178397,-0.199032200474,0.123887054754
Within Rec,0.728321348315,0.000531137537487,0.424490480037,,0.101476272943,0.470989039808,-0.0108795092843,-0.226094278336,0.0724591617881
Within Rec,0.722112359551,0.000513652255715,0.416019092685,-0.0272251122248,,0.50074482239,-0.0147140952162,-0.225846462249,0.0977744020561
Within Rec,0.702766292135,0.000493076846022,0.452135699935,-0.0395080252387,0.202225123398,,0.120807714422,-0.246097288058,0.0517009117644
Within Rec,0.726741573034,0.000516202651544,0.413217927468,-0.0507982148773,0.111614686899,0.473192562291,,-0.224918208566,0.0732525621308
