Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
All Domains,0.737350473056,0.000217573555876,0.303198260223,-0.017484338494,0.0878987775803,0.47734103093,-0.041116089998,-0.218522483554,0.0451659865582,0.0268226092014,-0.0146698997611,0.00774363977882,0.0440953307678,-0.0398209708244,0.0301425733553,0.000266138265106,0.0062508715693,-0.0153398965851,0.0260647020993,0.0334352260141,-0.00439484911321,0.0344087390412,0.0336632603277,-0.0226084781962,-0.0140734817579,0.00571498673011,-0.00407257353341,-0.048689468044,0.0386838311711,-0.0631528468597
All Domains,0.724879062114,0.000219795816215,,-0.0141769766289,0.0822343214521,0.509109527858,-0.00430079967111,-0.253924294932,0.0870795051401,,,,,,,0.00937577417764,0.0141041722327,-0.0137211971156,0.0241249309426,0.0340205825588,0.00193677147636,0.0392989408974,0.0253334876484,-0.0105551629329,-0.0129377056202,0.00624920013371,-0.00304104855453,-0.0376472674805,0.0299610891042,-0.048771866922
All Domains,0.737481283422,0.000209142338932,0.308668334669,,0.0797205111371,0.486315627233,-0.0499905905734,-0.211547771484,0.0570238639495,,-0.00224179484889,0.0080307998792,0.0529678549176,-0.0413235744475,0.0245018583537,,,,,,-0.00140269954627,0.0333376055541,0.0397342097065,-0.0164158405459,-0.0102288675039,0.00650192885539,-0.00385653307838,-0.0450008778412,0.0436690470191,-0.0599046093676
All Domains,0.733396133278,0.000208933889649,0.306452690459,-0.0024185489751,,0.480732980312,-0.0333321321485,-0.224561514002,0.0507138599829,0.0290994347683,,0.0115133514522,0.0429807785687,-0.0432454539312,0.0365807584839,,0.00428287627099,-0.00873778170235,0.0291133656407,0.0341567417978,,,,,-0.0105460530837,0.00485793300748,0.00356733291345,-0.0538316193206,0.0443099820146,-0.0620233323884
All Domains,0.700645824763,0.000215650375316,0.34489842553,-0.0117650009148,0.135144576703,,0.0966903428806,-0.226587233297,0.0597584466991,0.0341796032445,-0.0140232093146,,0.0363687249139,-0.0416999135549,0.0362129886191,-0.00805842390979,,-0.0096583698076,0.0481843380849,0.024551675948,,0.0328804443686,0.0222835477755,-0.00274758363044,,,,-0.0565649821751,0.033995061406,-0.0533362968932
All Domains,0.736165775401,0.00021329403172,0.302906554004,-0.0209546150245,0.0937015271086,0.463657788592,,-0.2561158308,0.0577445986801,0.0314219289514,-0.0168148508034,0.0198833372369,,-0.0184182186309,0.0318106916002,0.00176175315319,0.00625100338604,,0.0134168990394,0.0353626552947,0.00181076478136,,0.0486254910241,-0.0203801481159,,-0.0116038698613,0.00608926572083,,,-0.061790617086
All Domains,0.72877663513,0.000213689067955,0.275044151777,-0.0244756488889,0.10102280157,0.48103523074,-0.135273062694,,-0.066425698629,0.0321249080956,-0.00834130321577,0.00628959710561,0.0314075821275,,0.00471527854962,-0.00125437951453,0.00479300879103,-0.0106592209066,,0.048950663295,-0.00270096434483,0.0528041544964,,-0.00641910037377,-0.0138919751408,,-0.00780864838335,,-0.027328313258,
All Domains,0.737632661456,0.000210687261961,0.29375922469,-0.021568934303,0.094856746861,0.475277366927,-0.0396237939208,-0.185158714156,,0.0276334077402,-0.0112841484821,0.00890548611408,0.0469704836999,-0.022295104542,,0.002987485699,0.00905421727358,-0.0152201688307,0.0466028939705,,-0.000836741906489,0.0367355390325,0.0149716225066,,-0.0128282986442,-0.00201553194035,,-0.0464941944526,,
All Domains,0.686117235705,0.000215409698866,0.341368070901,0.0298026670207,,,,,,0.0495677508924,,,,,,,,,,,,,,,,,,,,
All Domains,0.685641299877,0.000205730842598,0.341665923541,,0.161866304746,,,,,,0.00805759619219,,,,,,,,,,,,,,,,,,,
All Domains,0.726071575483,0.000214501551086,0.297464441725,,,0.43668646089,,,,,,0.0313024333577,,,,,,,,,,,,,,,,,,
All Domains,0.685560674619,0.000210833376929,0.333096511849,,,,0.0077351138995,,,,,,0.0420253772662,,,,,,,,,,,,,,,,,
All Domains,0.684823940765,0.0002102224614,0.350433584721,,,,,-0.0986375162317,,,,,,0.0142107541898,,,,,,,,,,,,,,,,
All Domains,0.685346359523,0.000216518885256,0.343884005032,,,,,,-0.0165593896283,,,,,,0.0268192099606,,,,,,,,,,,,,,,
All Domains,0.686038667215,0.000218041864824,0.341368070901,0.0298026670207,,,,,,0.0495677508924,,,,,,,,,,,,,,,,,,,,
All Domains,0.642971616619,0.000241012060251,,0.0273285460999,0.171371336063,,,,,,,,,,,0.0206139914312,,,,,,,,,,,,,,
All Domains,0.71813245578,0.000200662685123,,-0.00549725930872,,0.494590238785,,,,,,,,,,,0.0176431682257,,,,,,,,,,,,,
All Domains,0.6405643768,0.000210446053353,,0.0453424822306,,,0.0303380818356,,,,,,,,,,,0.050475796786,,,,,,,,,,,,
All Domains,0.65528589058,0.000226732134042,,0.064562935259,,,,-0.106582189627,,,,,,,,,,,0.0709889675332,,,,,,,,,,,
All Domains,0.646133278486,0.000233109497631,,0.0514532687617,,,,,-0.00196418026655,,,,,,,,,,,0.0740995639852,,,,,,,,,,
All Domains,0.68564541341,0.00021969381718,0.341665923541,,0.161866304746,,,,,,0.00805759619219,,,,,,,,,,,,,,,,,,,
All Domains,0.643584944467,0.000240207100131,,0.0273285460999,0.171371336063,,,,,,,,,,,0.0206139914312,,,,,,,,,,,,,,
All Domains,0.716797202797,0.000202352749861,,,0.103816875745,0.475626478264,,,,,,,,,,,,,,,0.0194468128369,,,,,,,,,
All Domains,0.653336075689,0.000228644148192,,,0.154246821942,,0.0207745468076,,,,,,,,,,,,,,,0.0643240176806,,,,,,,,
All Domains,0.660853558206,0.000226541845113,,,0.162314226022,,,-0.0950057288958,,,,,,,,,,,,,,,0.0600612333501,,,,,,,
All Domains,0.650622788976,0.00023444468225,,,0.168684231352,,,,-0.00286425673036,,,,,,,,,,,,,,,0.0501118908933,,,,,,
All Domains,0.726240641711,0.00020969815565,0.297464441725,,,0.43668646089,,,,,,0.0313024333577,,,,,,,,,,,,,,,,,,
All Domains,0.718539284245,0.000208092576629,,-0.00549725930872,,0.494590238785,,,,,,,,,,,0.0176431682257,,,,,,,,,,,,,
All Domains,0.716624023036,0.000200727093304,,,0.103816875745,0.475626478264,,,,,,,,,,,,,,,0.0194468128369,,,,,,,,,
All Domains,0.71628342246,0.000201454657554,,,,0.534312818445,-0.106945622867,,,,,,,,,,,,,,,,,,0.00443614297915,,,,,
All Domains,0.718747840395,0.000208508987548,,,,0.542292522704,,-0.178820675874,,,,,,,,,,,,,,,,,,0.00559836022549,,,,
All Domains,0.716981489099,0.000200185228194,,,,0.511301270747,,,-0.0639615210822,,,,,,,,,,,,,,,,,,0.00999538283778,,,
All Domains,0.685325791855,0.000217798531868,0.333096511849,,,,0.0077351138995,,,,,,0.0420253772662,,,,,,,,,,,,,,,,,
All Domains,0.640853558206,0.000216189565306,,0.0453424822306,,,0.0303380818356,,,,,,,,,,,0.050475796786,,,,,,,,,,,,
All Domains,0.653194570136,0.000233726103259,,,0.154246821942,,0.0207745468076,,,,,,,,,,,,,,,0.0643240176806,,,,,,,,
All Domains,0.716394076512,0.000211941025616,,,,0.534312818445,-0.106945622867,,,,,,,,,,,,,,,,,,0.00443614297915,,,,,
All Domains,0.644010283834,0.000228278519583,,,,,0.178732783932,-0.166392322184,,,,,,,,,,,,,,,,,,,,-0.00925482273867,,
All Domains,0.642328671329,0.00020776361955,,,,,0.0586347702563,,0.00460556734526,,,,,,,,,,,,,,,,,,,,0.0121434728282,
All Domains,0.685150555327,0.000226183805945,0.350433584721,,,,,-0.0986375162317,,,,,,0.0142107541898,,,,,,,,,,,,,,,,
All Domains,0.655302756067,0.000225091390708,,0.064562935259,,,,-0.106582189627,,,,,,,,,,,0.0709889675332,,,,,,,,,,,
All Domains,0.660902920609,0.000221176965453,,,0.162314226022,,,-0.0950057288958,,,,,,,,,,,,,,,0.0600612333501,,,,,,,
All Domains,0.718717400247,0.000203108187371,,,,0.542292522704,,-0.178820675874,,,,,,,,,,,,,,,,,,0.00559836022549,,,,
All Domains,0.644265734266,0.000230917308972,,,,,0.178732783932,-0.166392322184,,,,,,,,,,,,,,,,,,,,-0.00925482273867,,
All Domains,0.648262854792,0.000244136016526,,,,,,-0.193897153472,0.182116666085,,,,,,,,,,,,,,,,,,,,,-0.0155224203605
All Domains,0.685729329494,0.000216399500029,0.343884005032,,,,,,-0.0165593896283,,,,,,0.0268192099606,,,,,,,,,,,,,,,
All Domains,0.646256684492,0.000239840329549,,0.0514532687617,,,,,-0.00196418026655,,,,,,,,,,,0.0740995639852,,,,,,,,,,
All Domains,0.650817359111,0.000234877453835,,,0.168684231352,,,,-0.00286425673036,,,,,,,,,,,,,,,0.0501118908933,,,,,,
All Domains,0.717204442616,0.000209823117738,,,,0.511301270747,,,-0.0639615210822,,,,,,,,,,,,,,,,,,0.00999538283778,,,
All Domains,0.642246812012,0.000213322998044,,,,,0.0586347702563,,0.00460556734526,,,,,,,,,,,,,,,,,,,,0.0121434728282,
All Domains,0.648301110654,0.000243514251365,,,,,,-0.193897153472,0.182116666085,,,,,,,,,,,,,,,,,,,,,-0.0155224203605
Within Rec,0.698421348315,0.000604652636411,0.313109057615,-0.193078915765,0.211012861304,0.23329679315,-0.151698296894,-0.303804104569,0.204894854159,-0.0497260659233,-0.0979839923534,0.0472915735785,0.022096457717,-0.00383993319808,0.00197645319934,0.0725827262768,0.0414196391301,-0.0548232637003,0.000124099286728,0.0736596786759,-0.0306374248546,0.0373453461067,0.0164333594075,-0.0436106389129,0.0494992832387,0.0328894219658,-0.0555785730236,0.0312028761962,-0.062464750961,0.00972883849815
Within Rec,0.687438202247,0.000598647079089,,-0.19238567129,0.171211423314,0.270441141632,-0.149264999358,-0.27597347123,0.180433809578,,,,,,,0.0534846683536,0.0528407490616,-0.0438473535108,-0.0188285079774,0.0843224215875,-0.0244588910872,0.0353212929269,0.00812968812707,-0.0243589131065,0.0318810665869,0.054763493287,-0.0658621461874,0.0397346364713,-0.037021233253,0.00421715338434
Within Rec,0.695016853933,0.000599731324429,0.331967875322,,0.166244323757,0.222273144461,-0.152678770967,-0.302800520154,0.210874766443,,-0.0893689508035,0.0401236546207,0.018958292413,0.00178573886905,-0.00482845818286,,,,,,-0.0378276181409,0.0415172510907,0.0471679509445,-0.0657365222484,0.0473640563657,0.0087196089354,-0.0345576645448,0.0155083696233,-0.0394975544441,0.00741686889508
Within Rec,0.67727247191,0.000643347809001,0.309279617347,-0.16831774999,,0.290817595728,-0.136360670124,-0.307482891859,0.207995734284,-0.0596120868881,,0.0232078463774,0.0130355239044,-0.00126833310123,0.00755894890357,,0.0625027114346,-0.0383777098367,-0.016923710703,0.0838923801731,,,,,0.0345366110351,0.0452473938545,-0.0536395346019,0.0299280979334,-0.0391259976844,-0.000498294438786
Within Rec,0.691525280899,0.00060926283503,0.342310590236,-0.180988306257,0.261014519757,,-0.0798411642827,-0.269934454927,0.166954637145,-0.0397278139,-0.0752626342628,,0.0433701974974,0.00856093472995,-0.0176170528449,0.0888168248965,,-0.0416150007985,0.0295265913225,0.0536171803655,,0.0253061943683,0.0198025467957,-0.0316932561386,,,,0.0494818957792,-0.0777480489181,0.00949606662614
Within Rec,0.7015,0.000578048608443,0.326620429514,-0.234536911831,0.212982765237,0.227259981767,,-0.326033975805,0.141514479309,-0.0414495656841,-0.0916225887541,0.0419272854414,,-0.00148222783033,0.00454619771131,0.0700995550043,0.0421628510537,,-0.0100778827548,0.0478362153689,-0.0258391333508,,0.0355218057118,-0.0400254548458,,0.0529481984464,-0.0482538698437,,,-0.00347146873437
Within Rec,0.694893258427,0.000596095671139,0.30126164921,-0.191840403254,0.207635308136,0.218548557849,-0.225982465236,,0.0607209097585,-0.0467116356809,-0.0981804887263,0.0458237930544,0.0202171009804,,0.000420250361106,0.0806430871825,0.0244784178347,-0.0536550569376,,0.0760836957779,-0.0274941351779,0.0416449742311,,-0.0262170498296,0.0598094814044,,-0.0469065749717,,-0.0295086972936,
Within Rec,0.698,0.000604240371845,0.315276239526,-0.213738394199,0.223759806709,0.22673190915,-0.113154562375,-0.207178678513,,-0.047933426128,-0.0887977202613,0.042128970616,0.0244692264746,0.00138966385725,,0.0830278721704,0.0395555171204,-0.0426123322284,0.038074570596,,-0.0299847431838,0.0300802166729,-0.00898037423131,,0.0296793631106,0.00888234730912,,-0.00455298436168,,
Within Rec,0.643098314607,0.000634363652284,0.381596147696,-0.169578677717,,,,,,-0.0180425971215,,,,,,,,,,,,,,,,,,,,
Within Rec,0.69083988764,0.000567360626114,0.347103075811,,0.212059859016,,,,,,-0.0684173448345,,,,,,,,,,,,,,,,,,,
Within Rec,0.671297752809,0.000634960541545,0.334317171392,,,0.22028723158,,,,,,0.00343467384276,,,,,,,,,,,,,,,,,,
Within Rec,0.655146067416,0.000593706531169,0.359119448706,,,,-0.127441492706,,,,,,0.0222791486886,,,,,,,,,,,,,,,,,
Within Rec,0.666466292135,0.000653822131087,0.374400567208,,,,,-0.196565152886,,,,,,0.0235514653321,,,,,,,,,,,,,,,,
Within Rec,0.642120786517,0.000576459590707,0.363977598852,,,,,,0.00444447577853,,,,,,-0.000701375362507,,,,,,,,,,,,,,,
Within Rec,0.644005617978,0.000631590362896,0.381596147696,-0.169578677717,,,,,,-0.0180425971215,,,,,,,,,,,,,,,,,,,,
Within Rec,0.665483146067,0.000573790409598,,-0.210288518014,0.25340356225,,,,,,,,,,,0.0854016392169,,,,,,,,,,,,,,
Within Rec,0.65747752809,0.000573417941157,,-0.211312827747,,0.303612711981,,,,,,,,,,,0.061948478105,,,,,,,,,,,,,
Within Rec,0.652283707865,0.000568975631841,,-0.160303327266,,,-0.0522312728503,,,,,,,,,,,0.0458605482325,,,,,,,,,,,,
Within Rec,0.649297752809,0.000541491589206,,-0.154048570586,,,,-0.117940188584,,,,,,,,,,,0.0712750446858,,,,,,,,,,,
Within Rec,0.655966292135,0.000561315490727,,-0.172005056876,,,,,0.0533014849684,,,,,,,,,,,0.101678475734,,,,,,,,,,
Within Rec,0.691056179775,0.000586543122672,0.347103075811,,0.212059859016,,,,,,-0.0684173448345,,,,,,,,,,,,,,,,,,,
Within Rec,0.664533707865,0.000584741179241,,-0.210288518014,0.25340356225,,,,,,,,,,,0.0854016392169,,,,,,,,,,,,,,
Within Rec,0.645278089888,0.000613104373071,,,0.133791467751,0.219048880229,,,,,,,,,,,,,,,-0.00987542678986,,,,,,,,,
Within Rec,0.653623595506,0.000568699799216,,,0.181303987538,,-0.126792470103,,,,,,,,,,,,,,,0.0378782781595,,,,,,,,
Within Rec,0.661575842697,0.000570320063027,,,0.195793507526,,,-0.182178317114,,,,,,,,,,,,,,,0.048052909269,,,,,,,
