Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Test Rec,0.730337078652,NA,0.282675136814,0.0619595428491,0.0978015404095,0.497397100253,0.00455853298485,-0.271917760743,0.0842248107782
Cross Test Rec,0.708988764045,NA,,0.0440107675382,0.112069279299,0.517348818215,-0.00683726908565,-0.263210487085,0.092253362687
Cross Test Rec,0.725842696629,NA,0.27815545172,,0.110336242582,0.50120056915,0.0159510926022,-0.268781911781,0.0874372884024
Cross Test Rec,0.729213483146,NA,0.289949116095,0.0851495640972,,0.509400235831,0.0125921882101,-0.288536660465,0.0964651792491
Cross Test Rec,0.691011235955,NA,0.320672424244,0.0858683773472,0.136683596198,,0.149243814093,-0.279085333066,0.110532958934
Cross Test Rec,0.731460674157,NA,0.282542002558,0.0624190321753,0.0979926447869,0.498353228311,,-0.269856918686,0.0845363039201
Cross Test Rec,0.722471910112,NA,0.277208706259,0.0559797746705,0.113406836437,0.496013092322,-0.0967013529222,,-0.0566339658783
Cross Test Rec,0.72808988764,NA,0.284558756789,0.0646266343579,0.10283650929,0.500627307398,0.0104153333515,-0.216756567108,
Cross Test Rec,0.688764044944,NA,0.31684165399,,,,,,
Cross Test Rec,0.591011235955,NA,,0.108859045959,,,,,
Cross Test Rec,0.591011235955,NA,,,0.180189491516,,,,
Cross Test Rec,0.698876404494,NA,,,,0.495486870861,,,
Cross Test Rec,0.591011235955,NA,,,,,0.0782737697867,,
Cross Test Rec,0.591011235955,NA,,,,,,-0.0626960659254,
Cross Test Rec,0.591011235955,NA,,,,,,,0.0390236870138
Cross Test Unem,0.663182346109,NA,0.33014457218,0.0365651455828,0.0639261792306,0.548470119683,0.00538451679451,-0.238804011421,0.078503643291
Cross Test Unem,0.648083623693,NA,,0.00893298753246,0.0856249277127,0.575318392118,-0.0129934611783,-0.222363969673,0.0897976128319
Cross Test Unem,0.665505226481,NA,0.326546217119,,0.0716061796958,0.55266018088,0.0110142774135,-0.237017213967,0.0798982325515
Cross Test Unem,0.658536585366,NA,0.336078206559,0.0516176783848,,0.558429518337,0.00951182626941,-0.246178297984,0.085924417324
Cross Test Unem,0.648083623693,NA,0.379692173425,0.0849808996086,0.122056940446,,0.143444630423,-0.260372411947,0.104344861289
Cross Test Unem,0.663182346109,NA,0.329930922193,0.0370079749491,0.0641070316461,0.549414044146,,-0.236301485202,0.078977859981
Cross Test Unem,0.648083623693,NA,0.323076700257,0.0317798444759,0.0732407716157,0.550792991494,-0.0862769804333,,-0.0468702481335
Cross Test Unem,0.659698025552,NA,0.33207544469,0.0383538592461,0.0681746968765,0.551041269141,0.0120130579318,-0.188278808773,
Cross Test Unem,0.650406504065,NA,0.374983617314,,,,,,
Cross Test Unem,0.598141695703,NA,,0.0994128925731,,,,,
Cross Test Unem,0.598141695703,NA,,,0.172850416249,,,,
Cross Test Unem,0.637630662021,NA,,,,0.56190710959,,,
Cross Test Unem,0.598141695703,NA,,,,,0.0790190335247,,
Cross Test Unem,0.598141695703,NA,,,,,,-0.0396000802033,
Cross Test Unem,0.598141695703,NA,,,,,,,0.0506993290066
Cross Test CPS,0.792192881745,NA,0.317304658482,0.0300346234469,0.0846911960847,0.473614308601,0.00923392234948,-0.268628253718,0.0844412614599
Cross Test CPS,0.792192881745,NA,,-0.00492207994881,0.0964991732634,0.502337293715,-0.0122763229141,-0.255996137322,0.107407806602
Cross Test CPS,0.796785304248,NA,0.313501868244,,0.0906817487921,0.474980270639,0.0148509005027,-0.266885560684,0.0859083103621
Cross Test CPS,0.789896670494,NA,0.321385404353,0.0491419681603,,0.485006773834,0.0136739706076,-0.282374159402,0.0959466920824
Cross Test CPS,0.729047072331,NA,0.361316975073,0.0474692195197,0.126108424651,,0.146677282028,-0.26455767755,0.0981236950342
Cross Test CPS,0.792192881745,NA,0.316887381929,0.0309906734576,0.0849400945096,0.475574198422,,-0.264617157835,0.0851475589666
Cross Test CPS,0.794489092997,NA,0.310549178438,0.0233346577289,0.0990760786639,0.469607234549,-0.0825507018684,,-0.0620451705079
Cross Test CPS,0.795637198622,NA,0.321322142943,0.0322796951992,0.0898916840049,0.475313921134,0.0153629891892,-0.212636860998,
Cross Test CPS,0.729047072331,NA,0.349276845655,,,,,,
Cross Test CPS,0.719862227325,NA,,0.0474556773631,,,,,
Cross Test CPS,0.724454649828,NA,,,0.155482929617,,,,
Cross Test CPS,0.779563719862,NA,,,,0.472582524992,,,
Cross Test CPS,0.719862227325,NA,,,,,0.0600452558999,,
Cross Test CPS,0.719862227325,NA,,,,,,-0.0674294377957,
Cross Test CPS,0.719862227325,NA,,,,,,,0.0260403180848
Cross Test Hos,0.753284671533,NA,0.30402165344,0.0259794795415,0.118845198468,0.486411804242,0.000460604768877,-0.246185791822,0.0722547882215
Cross Test Hos,0.735766423358,NA,,-0.00838805869903,0.139383251252,0.512051059627,-0.00815834796544,-0.228570529997,0.0830195028091
Cross Test Hos,0.750364963504,NA,0.300840152532,,0.12408680648,0.487930284331,0.00604676544702,-0.244327361197,0.0734398370673
Cross Test Hos,0.756204379562,NA,0.313941133278,0.0522866792457,,0.504286746559,0.00414334044408,-0.26731606253,0.0909522682374
Cross Test Hos,0.694890510949,NA,0.34410423716,0.0457888498274,0.170877347616,,0.134034574662,-0.252687344384,0.0934494419432
Cross Test Hos,0.753284671533,NA,0.304038908134,0.0260387948982,0.118845365706,0.486490339868,,-0.24596221796,0.0722626933403
Cross Test Hos,0.744525547445,NA,0.296550367907,0.0182167495741,0.134336524701,0.485706777975,-0.0887514174387,,-0.0599435720846
