Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.815670217918,0.000190684180332,,0.90081385814,,,,,,
All Domains,0.710508474576,0.000236917906239,,,-0.0605877470833,0.0205976359957,0.513895207216,-0.122350467592,-0.261075833002,0.0279776060829
All Domains,0.745910895884,0.000220146272871,0.399869141124,,,0.0244053348537,0.510591913858,-0.0904794918774,-0.265845605064,0.0137240490282
All Domains,0.745604842615,0.000215590436754,0.395522301995,,-0.0229729377255,,0.513943922747,-0.086040494979,-0.269642467021,0.0164887899696
All Domains,0.690518644068,0.000232476400401,0.406430163738,,-0.0452064093502,0.0909640581648,,0.023528293257,-0.272566412074,0.0395222778433
All Domains,0.744715738499,0.000214466014566,0.403176121957,,-0.0330280780751,0.0252639771469,0.49489937915,,-0.30615460183,0.0116481660054
All Domains,0.739279418886,0.000217974736711,0.395640981683,,-0.0291188137648,0.0416717857885,0.508650530226,-0.175432185353,,-0.135624012365
All Domains,0.74521937046,0.00022270164751,0.397117368664,,-0.0262083542431,0.0278081833321,0.509779953849,-0.0868187017031,-0.255510586234,
All Domains,0.711063438257,0.000232144724712,,,,0.0130356562887,0.517227950067,-0.130137072951,-0.263258964499,0.0265073899395
All Domains,0.709855205811,0.000227949029164,,,-0.057688595217,,0.517201000535,-0.121305728503,-0.263865763041,0.0295020879223
All Domains,0.649186440678,0.000265671206193,,,-0.0814872312531,0.082682921054,,-0.0113690759846,-0.266010339149,0.0491876035599
All Domains,0.709781598063,0.00023773708994,,,-0.0701286256055,0.0173907818439,0.49388511431,,-0.318700222645,0.0230056769705
All Domains,0.70521937046,0.000229337062076,,,-0.0653508557738,0.0331015715155,0.512812554836,-0.208512379791,,-0.121487065279
All Domains,0.710150605327,0.000229815475416,,,-0.06026192577,0.0215106678352,0.51449509531,-0.121422920147,-0.241950889366,
All Domains,0.746274576271,0.000215471734986,0.398378713575,,,,0.514574884619,-0.0889859488031,-0.269593482208,0.0154595527517
All Domains,0.690011622276,0.000232868543325,0.412256066996,,,0.086412226546,,0.0189556026786,-0.274392894077,0.0383003339105
All Domains,0.745423244552,0.000219207644738,0.407446981334,,,0.0214663084535,0.495653102038,,-0.3083690605,0.0103493873211
All Domains,0.740218401937,0.000226164905862,0.399309854585,,,0.0385999984995,0.510114634185,-0.17873024717,,-0.137171235547
All Domains,0.745565617433,0.000221357990276,0.400213725829,,,0.0248434709379,0.510947386402,-0.0900230738197,-0.256515468054,
All Domains,0.682694430993,0.000236760463515,0.402834723841,,-0.034515675809,,,0.0322656220422,-0.286173506046,0.0473945043923
All Domains,0.744727845036,0.000212654806818,0.401977487551,,-0.0297352687938,,0.499221597233,,-0.309427720671,0.0132756986589
