Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Relevance,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Relevance x Privacy,Relevance x Volitionality,Relevance x Outcome,Relevance x Cycle,Relevance x Disparity,Relevance x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
All Domains,0.819664891041,0.000204798069093,0.14806737197,0.717311004841,-0.0810706809617,-0.0333392268064,0.25626505353,-0.0581667342935,-0.132532100581,-0.0394610226793,0.0209758062651,0.0432004373073,0.0261416580296,0.0142647755702,0.0253030873274,-0.0497711230975,0.0432968724005,0.010043991622,-0.00850390105541,-0.0303032772164,-0.00941056810846,0.0457604578966,-0.0420932760872,0.0106090003787,-0.0180999397799,0.00133316915295,0.00605534901459,0.0106086666603,0.00473042656416,-0.00892914366084,0.0516370038569,-0.0167330201525,-0.0152465658264,-0.0286714379932,0.0344499853621,-0.0135739928451,0.0189808464556,-0.0337062080714
All Domains,0.817224697337,0.000195587918068,,0.791201803234,-0.0461936555438,-0.00904797280198,0.252250567094,-0.0531666781192,-0.17765606484,0.00998510651906,,,,,,,,0.0262604640223,0.00273425723641,-0.021098855799,-0.000246775172119,0.0277758827604,-0.0304849263353,0.0138810697469,-0.020305730076,-0.00449865225142,0.00874577209124,0.0117616058095,0.000983610096813,-0.0129329742432,0.0562215063174,-0.0151929803864,-0.0188324018751,-0.0198319985693,0.0285679946951,-0.010841879209,0.0177321451797,-0.0347419007914
All Domains,0.748199031477,0.00022213537646,0.402318158572,,-0.0928369827851,-0.0109137453592,0.500640675177,-0.0762211911975,-0.220108563023,-0.0170943374888,,0.0409541089002,0.0149680291164,0.00754027763325,-0.00165442577994,-0.0455436956292,0.0334329249305,,,,,,,0.00725941991928,-0.00914655089028,-0.00162043327742,0.00402157869136,0.0137793531817,0.0066059977833,0.00331316632,0.0373518357533,0.00788186057992,-0.0194504002099,0.00516511118431,0.00165903634954,-0.0186065414455,0.0239594472199,-0.0440649805791
All Domains,0.819802905569,0.000192844417658,0.150692135695,0.720291234814,,-0.0385408747265,0.25391670455,-0.0663616864018,-0.134609123668,-0.0356353017219,0.0186951509371,,0.0277112086215,0.0165066817844,0.0279407146008,-0.0480020919724,0.0417021656804,,-0.00339707197407,-0.0287765179228,-0.00603007255862,0.0450502790032,-0.0450995059042,,,,,,0.0046454562426,-0.00588028863706,0.051379823596,-0.0160127612107,-0.0156142811213,-0.0271147370759,0.032929801461,-0.0136837410354,0.0201232874235,-0.0330934210763
All Domains,0.819295883777,0.00020189006142,0.146447645655,0.708991997977,-0.0796188278254,,0.24327204107,-0.0647256795894,-0.127649738864,-0.0315029314962,0.0264413117986,0.0455316173436,,0.0220307745652,0.0312680750219,-0.0607090634572,0.043187944897,0.0120544932433,,-0.03004159995,-0.00804228919785,0.0465319499988,-0.0395617631887,,-0.0147560668354,0.00463935119746,0.00700938371795,0.00945094247786,,,,,-0.0145270585156,-0.0228776390962,0.0323470455198,-0.014898503224,0.0210693662157,-0.0339970142486
All Domains,0.817328329298,0.000196950598248,0.129454138322,0.806770450099,-0.0840046814045,0.00130820316865,,-0.0120912992644,-0.102678966984,-0.0292726593553,0.0233961631274,0.0432611725344,0.0195512491147,,0.0322093901789,-0.0522400210653,0.0405219731579,0.00214634619984,-0.0071410888579,,-0.0214520307313,0.0401826034551,-0.042827298476,0.00953230899125,,-0.000912357275646,0.00378174606259,0.00865886141101,,-0.00950964759537,0.049047963515,-0.0115971561656,,,,-0.0347745348443,0.0296781283057,-0.0260395007166
All Domains,0.821182566586,0.000196476563371,0.156628046133,0.716347497934,-0.0833935506227,-0.035731712281,0.241124598438,,-0.161353211828,-0.0385236283244,0.0196916720509,0.0435897171886,0.0275316291622,0.0207007703397,,-0.0398440426391,0.0451536431785,0.00990554117625,-0.0078402611081,-0.0312526945217,,0.0453825084517,-0.0466629124374,0.00955146425841,-0.017854508301,,0.00252767713,0.0135905172887,0.00148981640887,,0.0493925691983,-0.0174708655075,,-0.0385387928838,0.0378005772698,,,-0.0310103542605
All Domains,0.819511864407,0.000194085198349,0.13487306317,0.733886621576,-0.0774543623002,-0.0190908482263,0.241765029675,-0.106405567621,,-0.104993802567,0.0208478127471,0.0412525618044,0.0299098969507,0.0171009118614,0.0140106549776,,0.00751893395506,0.0124362113484,-0.011566080515,-0.0341218734709,0.00290171550055,,-0.0102301507857,0.00893272477545,-0.0192241982986,0.0029117532536,,0.013632659828,0.00652365148498,0.00942182707523,,0.0138054863481,-0.0222172183197,,0.011532311943,,-0.00271350226915,
All Domains,0.820451331719,0.000190387298493,0.136953979038,0.721434351839,-0.08113226696,-0.0324900042524,0.248958084668,-0.0711846935661,-0.144840024524,,0.0199168842896,0.0429426962503,0.0275521105302,0.0155837590806,0.0312770072192,-0.0228174957433,,0.011156229986,-0.0081326795336,-0.0325279597316,-0.00989300763354,0.016786010531,,0.0109950020702,-0.0190017774123,0.00241545238917,0.011391104928,,0.00404497164782,-0.0098577681055,0.0408441372016,,-0.0133171967442,-0.00873002266305,,-0.0136702403707,,
All Domains,0.81626779661,0.000193246792897,0.130681888837,0.814901071418,,,,,,,0.0343139213868,,,,,,,,,,,,,,,,,,,,,,,,,,,
