Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Test Rec,0.837431693989,NA,0.1630568929,0.746613460395,-0.000797231545634,0.0038603193963,0.21594842465,-0.032375980493,-0.189466739663,0.013675029649
Cross Test Rec,0.822404371585,NA,,0.792154225798,-0.00871854995606,8.58631013924e-05,0.207142778002,-0.0517431888462,-0.184088133005,0.0185219779437
Cross Test Rec,0.744535519126,NA,0.37667686431,,-0.0102447700688,0.0341712815787,0.488183101571,-0.0888287318197,-0.294647252932,0.0364812697777
Cross Test Rec,0.837431693989,NA,0.163092575921,0.746603610851,,0.00371712709368,0.215929774658,-0.0324634376967,-0.189535231865,0.0136642672555
Cross Test Rec,0.83606557377,NA,0.162862257288,0.746799586089,-0.000222517247584,,0.216415549386,-0.0322433513357,-0.19011902194,0.0140095664911
Cross Test Rec,0.821038251366,NA,0.148312241304,0.835789505817,0.00102483771872,0.0210102463775,,0.0113591640989,-0.174636386051,0.0165290150203
Cross Test Rec,0.837431693989,NA,0.166652821556,0.748475288645,-0.00340035357571,0.0033757392484,0.210490444137,,-0.203688568087,0.0115359591019
Cross Test Rec,0.823770491803,NA,0.159150351305,0.761389437243,-0.00239018203747,0.0142680985171,0.20791498838,-0.0952367498771,,-0.0906982519501
Cross Test Rec,0.83606557377,NA,0.163426937708,0.746816792223,-0.000562175945811,0.00441072218852,0.216120638173,-0.0315728618688,-0.180410860475,
Cross Test Rec,0.676229508197,NA,0.40328095378,,,,,,,
Cross Test Rec,0.819672131148,NA,,0.898220781735,,,,,,
Cross Test Rec,0.561475409836,NA,,,-0.0554178699644,,,,,
Cross Test Rec,0.561475409836,NA,,,,0.0871355563399,,,,
Cross Test Rec,0.710382513661,NA,,,,,0.428942274688,,,
Cross Test Rec,0.561475409836,NA,,,,,,-0.174704023375,,
Cross Test Rec,0.588797814208,NA,,,,,,,-0.271752921739,
Cross Test Rec,0.561475409836,NA,,,,,,,,-0.156910464694
Cross Test Unem,0.781546811398,NA,0.137930548826,0.761102021638,-0.00967074750424,0.0201852061706,0.265786202865,-0.0577486867278,-0.184876125051,-0.0165543745651
Cross Test Unem,0.781546811398,NA,,0.812889010784,-0.0198941072827,0.0190141617099,0.25248576599,-0.0693869558587,-0.18067346956,-0.0157984247298
Cross Test Unem,0.677069199457,NA,0.419237374885,,-0.00862014932429,0.0124566305474,0.564670344621,-0.0912836121683,-0.281172883271,0.012471038034
Cross Test Unem,0.781546811398,NA,0.139075704737,0.761005723414,,0.0191209298801,0.266063443904,-0.058834285901,-0.184973205867,-0.016777259269
Cross Test Unem,0.781546811398,NA,0.137399248123,0.760713888737,-0.00706347001751,,0.269542597696,-0.0570424770318,-0.187279173563,-0.013923268061
Cross Test Unem,0.782903663501,NA,0.107752131537,0.878883627443,-0.0148729257384,0.0501948625992,,-0.00772131758968,-0.17050574544,-0.0096519396524
Cross Test Unem,0.780189959294,NA,0.142510938311,0.763435856797,-0.0137339221407,0.0191149164415,0.256111603379,,-0.209026559131,-0.0204002271896
Cross Test Unem,0.784260515604,NA,0.134433531424,0.774622723939,-0.0109256280076,0.0274794233536,0.259531188231,-0.114775946063,,-0.121279141267
Cross Test Unem,0.780189959294,NA,0.137767847802,0.760808754025,-0.00986615865774,0.0192188580541,0.265417751569,-0.0586759013845,-0.195827550669,
Cross Test Unem,0.655359565807,NA,0.43509860297,,,,,,,
Cross Test Unem,0.782903663501,NA,,0.934721301717,,,,,,
Cross Test Unem,0.545454545455,NA,,,-0.0764177721266,,,,,
Cross Test Unem,0.545454545455,NA,,,,0.0697572344147,,,,
Cross Test Unem,0.614654002714,NA,,,,,0.497127330125,,,
Cross Test Unem,0.545454545455,NA,,,,,,-0.148434311033,,
Cross Test Unem,0.620081411126,NA,,,,,,,-0.258442637808,
Cross Test Unem,0.545454545455,NA,,,,,,,,-0.159391069185
Cross Test CPS,0.81124497992,NA,0.162827505897,0.757981536479,-0.0287104365831,0.0209623761476,0.255001850961,-0.0484821783217,-0.129975486839,-0.0329099467084
Cross Test CPS,0.812583668005,NA,,0.808648387642,-0.0468744770146,0.0192896922452,0.245900723129,-0.0647496689497,-0.121599092399,-0.0288270683485
Cross Test CPS,0.740294511379,NA,0.399972390321,,-0.0476049301108,0.0272064714853,0.538044794716,-0.0873295915749,-0.268026459668,0.00661681407944
Cross Test CPS,0.81124497992,NA,0.167691288849,0.758793050551,,0.0183167807962,0.256242714305,-0.0515487685738,-0.131190767375,-0.0340540207374
Cross Test CPS,0.812583668005,NA,0.16222974285,0.758053227296,-0.0263226612283,,0.25797625673,-0.0475400216038,-0.134378636835,-0.0313297590757
Cross Test CPS,0.815261044177,NA,0.144735503528,0.864021913485,-0.0364456494126,0.0425038468199,,-0.00223888742402,-0.110923558025,-0.0237742715238
