Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Relevance,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Relevance x Privacy,Relevance x Volitionality,Relevance x Outcome,Relevance x Cycle,Relevance x Disparity,Relevance x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
Cross Test Rec,0.842896174863,NA,0.15953763528,0.749686443138,-0.0643153231551,-0.0736934679603,0.217435065622,-0.0281433096531,-0.173406821949,-0.00684081933412,0.00768316815516,0.0393136942896,0.0410380289737,0.0145330284282,0.0122516035897,-0.0401545760847,0.0427171732366,0.00378386558993,0.011885059471,-0.0183473734438,-0.0311495577958,0.043861610487,-0.040712600419,0.0214211384152,-0.0172039831015,0.000610137488557,0.0147614083072,0.0113921579723,-0.0127003961116,-0.0201780026601,0.0473339842569,-0.00226487856283,-0.00818822529251,-0.0277506943552,0.0360838464109,-0.00752945479299,0.0137252816823,-0.0390776748233
Cross Test Rec,0.829234972678,NA,,0.800996014556,-0.0233092031872,-0.0260484071505,0.22120994047,-0.041459439727,-0.214014632514,0.048729767917,,,,,,,,0.0173250899316,0.0237741974452,-0.0105969434178,-0.02350114809,0.0298944427642,-0.0312611120998,0.0240711910584,-0.0174689260467,-0.0048145321714,0.0161974391623,0.0132168257912,-0.0146272494455,-0.02659174375,0.0490208610083,-0.000268799108272,-0.0105382655779,-0.0228688195089,0.031997180582,-0.00731122983348,0.0105071542611,-0.0404548629328
Cross Test Rec,0.75956284153,NA,0.389876029104,,-0.0822203559986,-0.0154477179745,0.480691726622,-0.0735144683662,-0.259947857501,0.0103448243876,,0.0424988106991,0.0246127633252,0.00565600957087,-0.00990413539272,-0.0412690408239,0.038012725649,,,,,,,0.0119033612169,-0.0120544501648,0.00493022353229,0.00488228237633,0.0121581716843,-0.00358170034299,-0.00169989813135,0.0270132895694,0.019310909335,-0.0242081085118,0.0059879543722,0.0039910123972,-0.00834486391437,0.0168764611968,-0.0445994043765
Cross Test Rec,0.841530054645,NA,0.16142917602,0.745929087382,,-0.0758012799513,0.212600518765,-0.0364996879038,-0.173473506929,-0.00141409817735,0.00931322594398,,0.0432889992804,0.0180625597647,0.0162264552392,-0.0401689730067,0.0422987749581,,0.0160436644186,-0.0179542130042,-0.0291178153289,0.0456148080919,-0.0448937944356,,,,,,-0.0120346142663,-0.0153340066817,0.0475342318707,-0.00156241616319,-0.00842423151398,-0.0264450778797,0.0356300479688,-0.00347280638282,0.0136840945365,-0.0392436193182
Cross Test Rec,0.834699453552,NA,0.151017694089,0.724969904335,-0.0753662054313,,0.206708000106,-0.0328744682845,-0.167186319732,0.00169742753893,0.0170660243297,0.0443000824408,,0.0243980969157,0.0195242495268,-0.0533250138891,0.0420974642036,0.013009539847,,-0.0190089862201,-0.0292072105733,0.0435397388904,-0.0392073063097,,-0.015409462705,0.00539488762389,0.0140292508179,0.0110416405062,,,,,-0.00823348654278,-0.0222043022833,0.0358742854315,-0.00788727403599,0.0177272350467,-0.0441634415396
Cross Test Rec,0.831967213115,NA,0.148007495078,0.830111961168,-0.0612878318538,-0.0543486850919,,0.013650709059,-0.1404931416,-0.00559889009025,0.0105347055707,0.0392822188373,0.0411240225731,,0.0185516873256,-0.0450001570657,0.0410290531152,-0.00260965089721,0.00685004104319,,-0.0419209530119,0.0397615504322,-0.0381646467344,0.020402769495,,-0.00097871982137,0.012981691421,0.0100504488464,,-0.0223476790007,0.0430315313318,0.00291340170445,,,,-0.0265169061766,0.0253705241039,-0.0306773236559
Cross Test Rec,0.842896174863,NA,0.166396860776,0.743905643413,-0.0659675437183,-0.0786094013845,0.21011075073,,-0.187601220814,-0.00403727449388,0.00865346410109,0.0398291313918,0.0430910530988,0.0175385562388,,-0.0348517561401,0.0423180837265,0.00140360593787,0.0133707390427,-0.0234500510873,,0.0307394063723,-0.0446140033629,0.0192869666135,-0.0167449111746,,0.0116029868489,0.0125642056908,-0.0180759315802,,0.0391448910948,-0.00392807922612,,-0.0333083561092,0.0380404271734,,,-0.0359169475463
Cross Test Rec,0.830601092896,NA,0.144087603975,0.770252936263,-0.0645043835963,-0.0545689148177,0.197280922189,-0.0922341906671,,-0.0931933398834,0.00602404762951,0.0392458658485,0.044939970287,0.0187161037926,0.0046323923408,,0.0123736441975,0.00763750904207,0.0080817272637,-0.0245560910407,-0.0175726440452,,-0.0115645644968,0.0171076110751,-0.0170577537377,0.00597897078009,,0.0183047673538,-0.0102239909017,-0.00150365150216,,0.0237336549498,-0.0131867647288,,0.0109225783616,,-0.00433852229739,
Cross Test Rec,0.833333333333,NA,0.147364136147,0.757299003286,-0.0652860096905,-0.0739632660844,0.208577696255,-0.041786547886,-0.158884269925,,0.00590109225797,0.0397483910205,0.042427150015,0.0161768666136,0.0197250790709,-0.0162736740836,,0.00548389760905,0.0123645296946,-0.0216547648212,-0.0311810331093,0.0168464927135,,0.0220803832506,-0.0182061444688,0.00118776596354,0.0217015570137,,-0.0129306008737,-0.0217933866861,0.0470523720087,,-0.00574517469139,-0.00700718807132,,-0.0140696619726,,
Cross Test Rec,0.81693989071,NA,0.139835760193,0.817796807186,,,,,,,0.030002611023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.677595628415,NA,0.399042025222,,-0.0928928193197,,,,,,,0.0443676383835,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.684426229508,NA,0.41386240101,,,0.056618000718,,,,,,,0.0255452471488,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.747267759563,NA,0.395870194548,,,,0.391468589875,,,,,,,0.0285752192559,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.680327868852,NA,0.385210171622,,,,,-0.122411415054,,,,,,,-0.00603484555345,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.687158469945,NA,0.400079015138,,,,,,-0.210517357338,,,,,,,-0.0335895154179,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.68306010929,NA,0.397476440091,,,,,,,-0.125442757242,,,,,,,-0.0152770300709,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.81693989071,NA,0.139835760193,0.817796807186,,,,,,,0.030002611023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.819672131148,NA,,0.896315898046,-0.0354681161454,,,,,,,,,,,,,0.0119699324669,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.819672131148,NA,,0.898519921316,,0.0120626296532,,,,,,,,,,,,,0.00908090687355,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.822404371585,NA,,0.841608257577,,,0.159693293886,,,,,,,,,,,,,-0.0113790828981,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.81693989071,NA,,0.895409232414,,,,-0.0800603241246,,,,,,,,,,,,,-0.0231167668904,,,,,,,,,,,,,,,,,
Cross Test Rec,0.81693989071,NA,,0.878857207094,,,,,-0.154611708291,,,,,,,,,,,,,-0.00739125611581,,,,,,,,,,,,,,,,
Cross Test Rec,0.815573770492,NA,,0.891677256376,,,,,,-0.0864364013599,,,,,,,,,,,,,-0.0181835963002,,,,,,,,,,,,,,,
Cross Test Rec,0.677595628415,NA,0.399042025222,,-0.0928928193197,,,,,,,0.0443676383835,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.819672131148,NA,,0.896315898046,-0.0354681161454,,,,,,,,,,,,,0.0119699324669,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.561475409836,NA,,,-0.0672959181185,0.0945053025682,,,,,,,,,,,,,,,,,,-9.80261295983e-05,,,,,,,,,,,,,,
Cross Test Rec,0.706284153005,NA,,,-0.0680364992861,,0.431831752121,,,,,,,,,,,,,,,,,,-0.0055745288442,,,,,,,,,,,,,
Cross Test Rec,0.532786885246,NA,,,-0.0336155476108,,,-0.171545292335,,,,,,,,,,,,,,,,,,0.0147341575315,,,,,,,,,,,,
Cross Test Rec,0.588797814208,NA,,,-0.0276684137515,,,,-0.26984502839,,,,,,,,,,,,,,,,,,0.0164969567702,,,,,,,,,,,
Cross Test Rec,0.561475409836,NA,,,-0.0404043660439,,,,,-0.154047438541,,,,,,,,,,,,,,,,,,0.0230135176639,,,,,,,,,,
Cross Test Rec,0.684426229508,NA,0.41386240101,,,0.056618000718,,,,,,,0.0255452471488,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.819672131148,NA,,0.898519921316,,0.0120626296532,,,,,,,,,,,,,0.00908090687355,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.561475409836,NA,,,-0.0672959181185,0.0945053025682,,,,,,,,,,,,,,,,,,-9.80261295983e-05,,,,,,,,,,,,,,
Cross Test Rec,0.703551912568,NA,,,,0.0387427119669,0.422987361698,,,,,,,,,,,,,,,,,,,,,,-0.0016315586078,,,,,,,,,
Cross Test Rec,0.577868852459,NA,,,,0.0928124910088,,-0.174963445201,,,,,,,,,,,,,,,,,,,,,,0.0271046103477,,,,,,,,
Cross Test Rec,0.599726775956,NA,,,,0.0600305333358,,,-0.260920902818,,,,,,,,,,,,,,,,,,,,,,0.0498543608015,,,,,,,
Cross Test Rec,0.583333333333,NA,,,,0.0880650819099,,,,-0.14463809063,,,,,,,,,,,,,,,,,,,,,,0.0446367174411,,,,,,
Cross Test Rec,0.747267759563,NA,0.395870194548,,,,0.391468589875,,,,,,,0.0285752192559,,,,,,,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.822404371585,NA,,0.841608257577,,,0.159693293886,,,,,,,,,,,,,-0.0113790828981,,,,,,,,,,,,,,,,,,
Cross Test Rec,0.706284153005,NA,,,-0.0680364992861,,0.431831752121,,,,,,,,,,,,,,,,,,-0.0055745288442,,,,,,,,,,,,,
